Taxonomy	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	taxonomy
Alistipes shahii	0	0	1728.572	403.16037	0	0	0	0	460.47296	463.02554	0	Alistipes shahii
Alistipes_A ihumii	0	0	0	435.70544	0	0	0	0	0	0	0	Alistipes_A ihumii
Anaerobutyricum hallii	0	0	0	0	533	0	0	367.44196	0	0	0	Anaerobutyricum hallii
Anaerostipes hadrus_A	0	0	1495.2262	4424.8013	0	5769.068	0	0	1618.7125	2040.2291	1581.1063	Anaerostipes hadrus_A
Anaerotignum sp000436415	0	0	0	438.36218	0	0	0	0	0	0	0	Anaerotignum sp000436415
Bacteroides fragilis	0	373.99194	0	0	1107	6923.034	589.62805	361.79865	0	0	5550.5312	Bacteroides fragilis
Bacteroides intestinalis	0	0	0	0	0	475.92523	0	0	0	0	0	Bacteroides intestinalis
Bacteroides salyersiae	0	0	0	468.9147	0	0	0	0	0	0	0	Bacteroides salyersiae
Bacteroides stercoris	0	0	11902.453	17998.09	0	0	0	0	0	0	11156.341	Bacteroides stercoris
Bacteroides thetaiotaomicron	0	462.85162	468.0511	601.7517	0	484.31494	0	0	430.48047	0	0	Bacteroides thetaiotaomicron
Bacteroides xylanisolvens	0	1113.1875	364.29147	449.65335	0	5805.6777	0	0	0	0	3418.9153	Bacteroides xylanisolvens
Bifidobacterium angulatum	0	0	0	0	0	0	0	0	3807.2822	17412.678	0	Bifidobacterium angulatum
Bifidobacterium bifidum	0	0	2154.032	3564.6816	0	0	0	0	0	0	0	Bifidobacterium bifidum
Bifidobacterium breve	0	0	0	0	764	0	0	0	0	0	0	Bifidobacterium breve
Bifidobacterium catenulatum	0	0	677.8359	872.73926	0	0	0	0	0	0	0	Bifidobacterium catenulatum
Bifidobacterium infantis	0	0	0	0	458	0	0	0	0	0	0	Bifidobacterium infantis
Bilophila wadsworthia	0	757.74866	0	0	0	0	1510.0826	0	0	0	601.24445	Bilophila wadsworthia
Bittarella massiliensis	0	0	0	0	0	569.7374	0	0	0	0	0	Bittarella massiliensis
Blautia sp001304935	0	0	0	0	0	0	1312.3191	2645.4565	0	0	0	Blautia sp001304935
Blautia_A sp000433815	0	0	0	0	0	0	933.2725	3296.3179	0	0	0	Blautia_A sp000433815
Blautia_A sp000436615	0	702.0893	966.9129	2848.026	0	0	0	0	0	0	0	Blautia_A sp000436615
Blautia_A sp900066205	0	0	391.9305	537.32574	0	0	0	0	2107.4136	528.65125	0	Blautia_A sp900066205
Blautia_A sp900066335	0	0	0	577.1769	2246	1660.3994	0	0	513.4009	0	0	Blautia_A sp900066335
Blautia_A sp900066355	0	0	0	512.7509	0	0	0	0	0	0	0	Blautia_A sp900066355
Blautia_A sp900066505	0	0	0	0	0	0	0	0	1087.669	1070.4276	0	Blautia_A sp900066505
Butyricimonas virosa	0	0	0	0	0	412.62106	0	0	0	0	0	Butyricimonas virosa
CAG-103 sp000432375	0	0	521.06366	0	0	0	0	0	864.4895	3646.5996	2205.825	CAG-103 sp000432375
CAG-110 sp000434635	0	0	0	0	0	0	0	0	1464.3394	652.61084	0	CAG-110 sp000434635
CAG-110 sp000435995	0	0	0	0	0	0	0	0	0	0	448.28302	CAG-110 sp000435995
CAG-115 sp003531585	0	0	3724.4724	672.15533	0	0	0	0	0	0	0	CAG-115 sp003531585
CAG-127 sp900319515	0	0	6325.713	419.10083	0	0	0	0	1166.1787	1318.3468	0	CAG-127 sp900319515
CAG-1427 sp000434775	0	0	0	0	0	0	0	0	0	699.27795	0	CAG-1427 sp000434775
CAG-1427 sp000435675	0	0	0	727.9469	0	0	0	0	0	0	0	CAG-1427 sp000435675
CAG-170 sp000432135	0	0	0	379.9139	0	0	0	0	0	436.0461	857.9471	CAG-170 sp000432135
CAG-177 sp003514385	0	0	0	788.38776	0	0	0	0	1713.9828	2859.8208	0	CAG-177 sp003514385
CAG-180 sp000432435	0	2488.0715	2019.9147	0	0	0	0	0	0	0	0	CAG-180 sp000432435
CAG-194 sp000432915	0	0	0	0	0	0	0	0	4522.6914	10765.526	0	CAG-194 sp000432915
CAG-269 sp000431335	0	0	385.58713	0	0	0	0	0	414.6021	0	0	CAG-269 sp000431335
CAG-269 sp001916055	0	0	447.20856	2001.854	0	0	0	0	0	0	0	CAG-269 sp001916055
CAG-273 sp000437855	0	0	0	0	0	0	0	0	0	2003.7704	0	CAG-273 sp000437855
CAG-274 sp000432155	0	0	0	0	0	0	0	0	0	0	639.8634	CAG-274 sp000432155
CAG-279 sp000437795	0	0	0	0	0	0	0	0	2459.3843	724.7991	0	CAG-279 sp000437795
CAG-417 sp000432835	0	0	603.9808	0	0	0	0	0	0	0	0	CAG-417 sp000432835
CAG-433 sp000433675	0	0	841.85767	0	0	0	0	0	0	0	0	CAG-433 sp000433675
CAG-45 sp900066395	0	0	1420.0117	0	0	0	0	0	6744.782	653.33997	1883.243	CAG-45 sp900066395
CAG-460 sp000437355	0	0	0	0	0	0	0	0	0	1007.71857	0	CAG-460 sp000437355
CAG-83 sp000435555	0	0	0	0	0	0	0	0	494.87613	0	0	CAG-83 sp000435555
CAG-83 sp001916855	0	0	0	0	0	0	0	0	0	580.42255	0	CAG-83 sp001916855
CAG-95 sp000438155	0	0	0	0	0	0	0	0	0	1807.6226	0	CAG-95 sp000438155
Clostridium sp000435835	0	0	0	0	0	0	0	0	1168.8251	1556.0575	0	Clostridium sp000435835
Clostridium sp001916075	0	0	0	0	0	0	0	0	0	821.05005	0	Clostridium sp001916075
Clostridium_A leptum	0	0	0	920.5606	0	0	0	12439.101	0	2968.4678	406.6351	Clostridium_A leptum
Clostridium_P perfringens	0	0	0	0	467	0	0	0	0	0	0	Clostridium_P perfringens
Clostridium_Q sp000435655	0	0	0	0	0	0	0	406.9451	0	0	0	Clostridium_Q sp000435655
Clostridium_Q sp003024715	0	0	367.46317	0	716	454.5696	975.9992	1021.4385	0	0	658.03705	Clostridium_Q sp003024715
Clostridium_Q symbiosum	0	0	0	0	0	453.0442	0	0	0	0	0	Clostridium_Q symbiosum
Collinsella aerofaciens	0	0	0	0	1583	0	0	0	0	904.17584	0	Collinsella aerofaciens
Collinsella aerofaciens_A	0	0	0	0	966	0	0	0	0	528.65125	0	Collinsella aerofaciens_A
Collinsella aerofaciens_E	0	0	0	0	725	0	0	0	0	813.0291	0	Collinsella aerofaciens_E
Collinsella sp000434535	0	0	0	0	1206	0	0	0	0	555.6307	0	Collinsella sp000434535
Collinsella sp000763055	0	0	0	0	807	0	0	0	0	724.7991	0	Collinsella sp000763055
Collinsella sp002232035	0	0	0	0	749	0	0	0	0	698.54877	0	Collinsella sp002232035
Collinsella sp002391315	0	0	0	0	723	0	0	0	0	401.04575	0	Collinsella sp002391315
Coprococcus eutactus_A	0	0	3299.4658	1562.8276	0	0	0	0	396.95947	0	9147.396	Coprococcus eutactus_A
Desulfovibrio sp900319575	0	0	706.83417	1419.3636	0	0	0	0	0	0	0	Desulfovibrio sp900319575
Dialister invisus	0	0	0	0	1466	7016.846	2700.9358	4719.058	0	0	4693.3413	Dialister invisus
Dorea scindens	0	0	0	0	0	0	1361.76	1339.9718	0	0	0	Dorea scindens
Dorea sp000433215	0	0	0	592.4531	0	0	0	0	0	0	770.86505	Dorea sp000433215
Dorea sp000509125	0	0	0	0	0	451.5188	2308.461	1396.4048	0	0	0	Dorea sp000509125
Eisenbergiella sp900066775	0	0	1285.8945	2788.9133	1710	377.53683	0	0	635.13513	864.8005	2411.0356	Eisenbergiella sp900066775
Eisenbergiella tayi	0	0	0	0	0	0	639.67926	1661.0132	0	0	423.29428	Eisenbergiella tayi
Enterocloster sp000431375	0	0	474.8476	0	643	0	861.24756	818.9065	0	0	664.8522	Enterocloster sp000431375
ER4 sp000765235	0	0	739.9104	1524.9691	0	0	0	0	0	0	636.8345	ER4 sp000765235
ER4 sp900317525	0	0	0	0	0	0	0	0	0	0	570.9551	ER4 sp900317525
Erysipelatoclostridium sp003024675	0	0	0	822.92535	0	376.77414	0	0	0	0	0	Erysipelatoclostridium sp003024675
Eubacterium_F sp000433735	0	0	0	0	0	0	0	0	766.5728	0	0	Eubacterium_F sp000433735
Eubacterium_F sp003491505	0	0	1986.3853	387.21994	0	0	0	0	0	0	1417.5436	Eubacterium_F sp003491505
Eubacterium_G sp000434315	0	0	0	0	0	0	0	0	0	0	483.1158	Eubacterium_G sp000434315
Eubacterium_I ramulus	0	0	744.4414	957.09076	473	571.2628	418.111	0	0	0	377.86017	Eubacterium_I ramulus
Eubacterium_I ramulus_A	0	0	0	0	0	0	0	0	0	402.5041	0	Eubacterium_I ramulus_A
Eubacterium_R sp000434995	0	0	1354.7655	1677.7317	0	0	0	0	0	0	0	Eubacterium_R sp000434995
Eubacterium_R sp000436835	0	0	0	0	0	0	0	0	2073.8926	4579.9424	1421.3298	Eubacterium_R sp000436835
Faecalibacterium prausnitzii_A	0	0	412.77304	0	0	0	0	0	0	0	475.5435	Faecalibacterium prausnitzii_A
Faecalibacterium prausnitzii_F	0	0	0	0	465	0	0	0	374.02402	0	0	Faecalibacterium prausnitzii_F
Faecalibacterium prausnitzii_H	0	0	17454.727	4108.6494	398	87.71058	0	0	0	0	0	Faecalibacterium prausnitzii_H
Faecalibacterium prausnitzii_I	0	0	3675.5378	3475.0166	0	465.2474	0	0	2917.211	586.256	595.1866	Faecalibacterium prausnitzii_I
GCA-900066135 sp900066135	0	0	2642.0193	2054.3247	990	461.4339	0	0	1110.6044	4073.1665	451.31195	GCA-900066135 sp900066135
Gemmiger qucibialis	0	0	0	0	0	0	0	0	0	1601.2662	2063.4648	Gemmiger qucibialis
Holdemanella biformis	0	0	0	0	0	0	0	0	7224.662	3343.2632	987.4342	Holdemanella biformis
Intestinibacter bartlettii	0	451.13388	897.5888	0	1196	0	455.9546	816.3983	1069.1442	996.781	695.1416	Intestinibacter bartlettii
Klebsiella pneumoniae	0	0	0	563.229	0	0	0	0	0	0	0	Klebsiella pneumoniae
Lachnospira eligens_B	0	1047.7633	744.4414	0	0	0	0	0	0	0	0	Lachnospira eligens_B
Lachnospira sp000436475	0	0	1637.0461	0	0	0	0	0	0	0	0	Lachnospira sp000436475
Lachnospira sp000437735	0	952.06824	0	0	0	0	0	0	0	0	0	Lachnospira sp000437735
Lawsonibacter asaccharolyticus	0	0	0	0	0	496.51813	0	0	0	0	0	Lawsonibacter asaccharolyticus
Lawsonibacter sp000177015	0	0	0	0	0	517.1111	0	0	0	0	0	Lawsonibacter sp000177015
Lawsonibacter sp900066825	0	489.2166	0	0	0	0	0	0	0	0	0	Lawsonibacter sp900066825
Longicatena caecimuris	0	0	0	0	0	0	0	481.56213	0	0	0	Longicatena caecimuris
Longicatena sp000165065	0	0	0	0	0	0	0	363.0527	0	0	0	Longicatena sp000165065
Neobitarella massiliensis	0	0	0	0	0	538.4667	0	0	0	0	0	Neobitarella massiliensis
Odoribacter splanchnicus	0	0	2622.5361	1633.8954	0	0	0	0	0	0	1528.8572	Odoribacter splanchnicus
Parabacteroides distasonis	0	0	1624.3594	967.0535	0	367.62173	0	0	0	0	7882.057	Parabacteroides distasonis
Paraprevotella clara	0	0	0	0	0	0	0	0	0	900.53	0	Paraprevotella clara
Parasutterella excrementihominis	0	0	0	0	0	0	0	746.17053	0	0	500.53223	Parasutterella excrementihominis
PeH17 sp000435055	0	0	0	0	0	0	0	0	0	485.62994	0	PeH17 sp000435055
Phascolarctobacterium_A succinatutens	0	0	0	0	0	0	0	0	706.5878	0	0	Phascolarctobacterium_A succinatutens
Prevotella copri	0	0	0	0	0	0	0	0	25815.598	5164.0107	0	Prevotella copri
Prevotella copri_A	0	0	0	0	0	0	0	0	3622.0347	0	0	Prevotella copri_A
Prevotella sp002251385	0	0	5117.7515	1396.7814	0	0	0	0	0	0	0	Prevotella sp002251385
Prevotella sp002440225	0	0	0	0	0	0	0	0	367.8491	0	0	Prevotella sp002440225
Prevotella sp003447235	0	0	4114.1377	657.5433	0	0	0	0	527.515	0	0	Prevotella sp003447235
Prevotellamassilia timonensis	0	8561.779	0	0	0	0	0	0	0	0	0	Prevotellamassilia timonensis
Romboutsia timonensis	0	540.97003	0	0	1772	987.6974	0	0	426.06982	1742.7261	0	Romboutsia timonensis
Roseburia hominis	0	596.62946	0	0	0	0	0	0	1006.51276	452.08792	0	Roseburia hominis
Ruminiclostridium_E siraeum	0	0	0	1260.6234	0	0	0	0	2071.2463	1149.1783	1110.1062	Ruminiclostridium_E siraeum
Ruminococcus_A sp000432335	0	0	0	0	0	0	0	933.6537	0	0	0	Ruminococcus_A sp000432335
Ruminococcus_C callidus	0	4197.8887	3023.0754	2840.0557	0	0	0	0	0	0	2115.714	Ruminococcus_C callidus
Ruminococcus_C sp000433635	0	0	0	0	0	0	0	0	3409.4407	0	0	Ruminococcus_C sp000433635
Ruminococcus_C sp000437175	0	0	0	0	0	0	0	0	0	0	1789.346	Ruminococcus_C sp000437175
Ruminococcus_C sp000437255	0	0	3956.0059	1038.7855	0	0	0	0	0	0	0	Ruminococcus_C sp000437255
Ruminococcus_D bicirculans	0	11312.523	374.71274	0	0	1751.1608	518.21344	985.0705	1452.8716	2788.3618	3954.2803	Ruminococcus_D bicirculans
Ruthenibacterium sp003149955	0	0	0	0	0	0	0	366.8149	0	0	0	Ruthenibacterium sp003149955
Sellimonas intestinalis	0	0	0	0	0	0	3437.6658	3122.0024	0	0	0	Sellimonas intestinalis
Senegalimassilia anaerobia	0	0	0	377.92136	0	0	0	0	1112.3687	3295.867	0	Senegalimassilia anaerobia
Streptococcus salivarius	0	0	644.3066	0	0	0	0	0	1165.2965	0	0	Streptococcus salivarius
Sutterella wadsworthensis_A	0	850.5143	990.47406	0	0	0	0	0	0	0	0	Sutterella wadsworthensis_A
Terrisporobacter othiniensis	0	0	0	0	0	0	0	0	0	501.67178	0	Terrisporobacter othiniensis
TF01-11 sp003524945	0	0	1056.1733	830.8956	0	0	0	0	0	0	0	TF01-11 sp003524945
TF01-11 sp003529475	0	0	0	0	0	0	0	0	385.49173	0	2695.756	TF01-11 sp003529475
Turicibacter sanguinis	0	0	0	0	450	0	0	0	0	0	0	Turicibacter sanguinis
UBA11524 sp000437595	0	0	5042.537	7127.371	0	0	0	0	1267.6239	3839.8308	0	UBA11524 sp000437595
UBA11774 sp003507655	0	0	0	0	0	0	0	0	0	1000.4269	0	UBA11774 sp003507655
UBA1191 sp900066305	0	0	0	0	0	385.16385	0	0	0	1353.3472	0	UBA1191 sp900066305
UBA1820 sp003150615	0	0	0	0	0	0	0	0	0	0	2323.1965	UBA1820 sp003150615
Veillonella_A sp000431435	0	0	0	0	0	0	884.4421	2079.2449	0	0	0	Veillonella_A sp000431435
Weimerbacter sp900100095	0	0	0	0	0	0	0	0	407.54504	0	0	Weimerbacter sp900100095
