Samples	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
Rikenellaceae	0.396281363	1.472569756	2.255034452	1.721701904	0	1.96024301	0	0	0.423748887	0.563018528	3.908454345
Tannerellaceae	0.282793126	0.82720739	0.278774938	0.224878804	0	0	0	0	0.126248271	0.268326806	2.920353655
Prevotellaceae	0	2.13550735	2.336204941	0.723876241	0	0	0	0	16.33932124	3.53481232	0
Streptomycetaceae	0	0	0	0	0	0	0	0	0	0	0
Comamonadaceae	0	0	0	0	0	0	0	0	0	0	0
Sutterellaceae	0	0.196608215	0.254800079	0	0	0	0	0	0	0	0
Desulfovibrionaceae	0	0.18207936	0	0	0	0	0.467813487	0	0	0	0.154742736
Odoribacteraceae	0	0	0.644633448	0.473446873	0	0.183863	0	0	0	0	0.351033342
Dysgonomonadaceae	0	0	0	0	0	0	0	0	0	0	0
Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0
Micrococcaceae	0	0	0	0	0	0	0	0	0	0	0
Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0
Rhizobiaceae	0	0	0	0	0	0	0	0	0	0	0
Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0
Mycobacteriaceae	0	0	0	0	0	0	0	0	0	0	0
Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	0
Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0
Xanthomonadaceae	0	0	0	0	0	0	0	0	0	0	0
Akkermansiaceae	0	0	0	0	0	0.83793893	0	1.892798941	0	0	2.088288302
Treponemataceae	0	0	0	0	0	0	0	0	0	0	0
Yersiniaceae	0	0	0	0	0	0	0	0	0	0	0
Alcaligenaceae	0	0	0	0	0	0	0	0	0	0	0
Podoviridae	0	0	0	0	0	0.147595617	0	0	0	0	0
Peptoniphilaceae	0	0	0	0	0	0	0	0	0	0	0
Eubacteriales Family XIII. Incertae Sedis	0	0	0	0	0	0	0	0	0	0	0
Leptotrichiaceae	0	0	0	0	0	0	0	0	0	0	0
Zoogloeaceae	0	0	0	0	0	0	0.290327885	0.623407569	0	0	0
Saccharomycetaceae	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0
Thermoanaerobacterales Family III. Incertae Sedis	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriaceae	0	0	0	0	0	0	0	0	0.603054592	3.880958152	0
Chitinophagaceae	0	0	0	0	0	0	0	0	0	0	0
Morganellaceae	0	0	0	0	0	0	0	0	0	0	0
Pseudonocardiaceae	0	0	0	0	0	0	0	0	0	0	0
Roseobacteraceae	0	0	0	0	0	0	0	0	0	0	0
Arcobacteraceae	0	0	0	0	0	0	0	0	0	0	0
Thermoanaerobacteraceae	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmataceae	0	0	0	0	0	0	0	0	0	0	0
Oxalobacteraceae	0	0	0	0	0	0	0	0	0	0	0
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0
Lawsonellaceae	0	0	0	0	0	0	0	0	0	0	0
Micromonosporaceae	0	0	0	0	0	0	0	0	0	0	0
Erwiniaceae	0	0	0	0	0	0	0	0	0	0	0
Neisseriaceae	0	0	0	0	0	0	0	0	0	0	0
Pectobacteriaceae	0	0	0	0	0	0	0	0	0	0	0
