Datasets	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1
RNA processing and degradation. bacterial	10520.791	9644.695	10304.374	10413.759	8631	9537.572	8638.112	8686.93	10474.437	10243.4375	9944.765
Pyridoxin (Vitamin B6) Biosynthesis	10290.395	8330.353	9294.869	9126.568	6693	7902.342	6575.6343	6881.6987	8929.823	8327.168	8152.39
NAD and NADP cofactor biosynthesis global	10006.104	9332.222	9274.934	8926.648	7627	8511.739	8223.663	8190.946	9841.066	8788.006	8754.392
DNA repair. bacterial RecFOR pathway	9989.935	9519.706	10061.513	10806.956	8392	9072.324	8332.921	7730.7026	10136.58	9779.683	9560.09
Fermentations: Mixed acid	9930.651	9235.55	8392.75	8488.286	6799	8388.944	10033.442	10169.238	10163.044	9622.182	8337.913
Lysine DAP biosynthetic pathway	9874.736	9544.118	9366.459	10140.778	8765	8594.874	10407.606	9981.128	10796.415	11165.113	9346.55
Pentose phosphate pathway	9676.676	8409.448	7635.1685	7963.5796	6776	7609.465	7915.421	8280.611	7891.554	8309.668	7995.6426
DNA Repair Base Excision	9487.373	8983.618	7926.9644	8104.387	7425	7919.121	8761.409	8089.366	8304.392	7697.891	8026.689
Biotin synthesis & utilization	9290.66	8035.456	8101.407	8051.2524	6797	7205.996	9657.448	8659.967	7618.0933	7501.0137	8245.53
Nonmevalonate Branch of Isoprenoid Biosynthesis	9000.9795	8421.166	9087.351	8858.901	7012	8394.283	7931.901	7681.794	9560.548	8545.92	8724.859
Polyamine Metabolism	8847.381	7973.9375	8125.4214	7846.019	7086	7531.6694	9444.425	8444.268	7956.832	6039.749	7386.8257
Pyruvate metabolism I: anaplerotic reactions. PEP	8687.046	9634.931	9531.84	9131.217	6506	8950.292	7480.8296	8262.428	9447.635	7772.2666	9613.096
Chorismate Synthesis	8427.008	8099.904	7722.1636	8475.002	7852	7280.7407	8787.045	8199.098	8427.891	7858.309	7439.075
Folate biosynthesis cluster	8065.2437	7981.7495	8180.2466	8697.504	7070	7556.0757	8268.221	7600.9067	8732.226	8467.898	7785.8887
YrdC-YciO-Sua5 and associated protein families	8063.2227	7809.889	8345.175	7928.378	5767	7039.727	6192.3154	6682.302	7889.79	7787.579	7704.107
DNA repair. bacterial RecBCD pathway	8018.7603	6347.1216	6183.893	6702.292	6753	6498.21	8666.8	8140.783	6366.3477	5966.8315	5053.785
DNA processing cluster	8002.592	7172.2476	7173.008	7240.282	6146	6937.5254	7007.174	7251.0215	6885.0415	6459.024	6969.5894
Histidine Biosynthesis -- gjo	7692.0273	6875.3975	7159.8677	7154.602	6221	6232.79	6739.827	6418.3203	7334.0464	7414.971	6401.663
Nudix proteins (nucleoside triphosphate hydrolases)	7630.0493	7236.695	7292.173	7369.7983	5485	6630.157	7529.05	6676.0312	7849.212	6518.0874	6291.107
F0F1-type ATP synthase	7045.9727	5882.317	6972.7383	6773.36	7104	7074.8115	7994.16	7488.6675	6986.4863	6165.896	6412.2646
Cysteine synthesis	7031.8257	7338.249	7179.351	6910.846	5312	6161.859	6808.1895	6543.7275	7395.796	5616.828	6550.8384
DNA internalization-related cluster	6979.9526	6013.1655	6293.543	6681.7026	6405	6049.7417	8280.429	7164.491	6456.325	5570.89	5382.4253
Fatty acid synthesis	6969.847	6682.054	5874.4263	5547.2744	4585	5721.7803	5395.1577	5815.7407	5384.5347	4490.9834	5965.496
Proline biosynthesis (for review)	6563.621	5248.581	5589.8804	4893.052	5155	5618.816	3973.5803	4317.1294	5435.698	5463.7017	5229.464
Antibiotic targets in DNA processing	6482.1064	6345.1685	6848.589	6763.3975	6096	5846.1006	5965.2534	6040.2188	6719.2007	6678.5054	6527.3643
Cobalamin synthesis from Cob(II)yrinate a.c diamide	6377.0127	5174.3687	5204.7466	5102.9346	5138	5190.178	5328.626	5104.684	4677.0645	3978.3738	4507.819
Copper Transport System	6300.8877	5893.058	6565.8555	6679.046	5418	5689.747	6472.48	6467.856	6934.441	6885.591	6162.377
Ribosomal proteins. zinc requirement	6185.689	5163.6274	5361.5186	5132.8228	3805	4406.1216	4616.922	4621.868	5307.789	5672.245	4897.0376
Antibiotic targets in transcription	6109.5635	5595.232	5729.8877	5846.1577	5893	5283.2275	5694.244	5529.186	5805.3115	6327.0435	5341.5347
IMP and Xanthine conversion to XMP and GMP module	6097.4375	5452.6655	5506.9634	5520.0425	4819	5086.4507	5011.8384	5040.0996	6209.328	5866.9346	5545.988
Translation elongation factors. bacterial	6088.6797	6030.742	6626.1177	6251.9746	4925	5698.8994	4922.7227	4873.3086	6747.4287	5925.998	6024.56
Ribonucleotide reduction	6074.5327	6102.025	6034.37	6342.9683	5768	5547.885	5635.648	5782.508	6812.7065	6649.3384	6036.6763
Riboflavin. FMN and FAD metabolism with fusion events	6015.923	5774.9043	5806.9146	5751.179	4328	5488.394	6738.6064	5963.0938	5473.63	4087.75	5714.094
DNA repair. UvrABC system	5935.0815	5763.1865	6460.283	6501.7085	5736	6042.1147	5314.5874	5129.7656	6474.85	6429.128	6272.933
Antibiotic targets in cell wall biosynthesis	5815.8413	5443.8774	5801.9307	5842.1724	4737	4817.98	4976.436	5011.8833	5828.247	5928.9146	5285.499
Phenylalanine and Tyrosine synthesis 1	5802.3677	4854.0835	4916.1226	5008.62	3981	4402.308	4493.0146	4310.232	4915.24	4866.508	4373.7886
Metabolite repair	5785.526	5586.4434	5294.46	5448.9746	3579	4776.7944	4061.475	4350.3623	4920.533	4292.648	5795.118
Thiamin. thiazole. hydroxymethylpyrimidine salvage and uptake	5724.221	5292.523	6156.254	5943.1284	5588	6483.7183	6429.7534	6237.1074	5763.8516	5423.5967	5625.4976
Anaerobic module of TCA	5691.211	5151.9097	5356.0815	4891.7236	4916	4333.665	5094.2397	4732.226	5755.0303	5007.968	4408.621
Macromolecular synthesis operon	5593.5283	5137.2627	6147.645	5363.295	4733	5785.0845	5098.5127	4793.0483	6022.316	5098.3853	5733.025
Resistance to Daptomycin	5578.0337	6061.9893	5957.797	5916.561	4562	5529.58	5249.2764	4648.2036	6174.043	5384.2217	5767.858
Translation initiation factors. bacterial	5485.74	5467.313	5611.629	5429.0493	4482	5288.5664	4398.4053	4505.2397	5547.729	5380.5757	5475.565
Queuosine and archaeosine	5460.814	5339.394	5228.7607	5475.5425	3760	4807.3022	3639.702	3754.0527	4953.172	5080.156	5421.8013
S-Adenosyl-L-homocysteine recycling	5371.889	4892.166	5124.548	4905.6714	4448	4873.657	4410.003	4506.4937	5037.8564	4773.174	4687.2837
Type I restriction-modification systems	5185.9546	5354.041	8632.893	7104.7886	3913	5502.1226	4724.349	4633.7817	7154.092	6193.6045	6984.734
5-methylaminomethyl-2-thiouridine	4901.6636	5340.3706	5311.2246	5032.531	3173	4782.1333	4454.5605	4197.993	4986.693	3923.6858	4847.06
Antibiotic targets in protein synthesis	4810.0435	4637.3047	4654.2314	4644.6465	3999	3844.0115	3882.0232	3955.3308	4583.5586	5269.012	4306.3945
tRNA aminoacylation. Asn	4746.0444	4865.8013	4747.1167	4782.133	4172	4702.8125	4621.1943	4643.187	5147.241	4432.6494	4635.034
DNA repair. bacterial MutHLS system	4603.899	4458.609	4445.3525	4179.0527	2646	3891.2988	3404.0947	3537.726	4528.866	3622.5369	3955.7947
Bacterial checkpoint-control-related cluster	4527.0996	4535.7505	4566.783	4590.1836	3884	4146.8037	3721.493	3580.9915	4754.6924	4552.963	4082.253
V-Type ATP synthase	4498.132	4876.5425	3295.388	4579.5566	3744	3168.2585	3921.698	3860.6487	3404.148	4130.042	3293.9714
Sporulation proteins SpoVA cluster	4447.606	4000.6396	3646.9927	3265.7983	2414	2769.3662	3976.0217	3977.904	3318.581	2851.0708	3074.3733
Signal peptidase	4436.827	4359.9844	4379.2	4252.1133	3413	4094.1772	3808.167	3683.198	4309.2153	3833.2683	4195.8384
Proline Synthesis	4385.628	4146.1353	4038.0168	4002.3796	3289	3615.2012	3581.1052	3641.1868	4296.8657	3882.1228	4150.4043
Dpp dipeptide ABC transport system	4384.281	4901.9307	4724.0083	6584.0674	8768	4922.47	8401.284	6978.889	5478.0405	7319.4497	4628.219
Aspartate to Threonine Module	4334.4287	4087.5464	4011.284	4499.8545	3950	3758.5889	3827.0889	3769.1016	4202.4775	4426.816	3873.256
Sporulation proteins SigEG cluster	4303.4395	4044.581	4463.9297	4001.7153	3382	3899.6885	4190.876	4379.2056	4279.223	3651.7039	3510.5408
Utilization systems for glycans and polysaccharides (PULs. SUS)	4303.4395	28361.87	14319.735	15969.003	913	25182.852	847.2088	1454.0919	9878.998	3392.118	27651.943
N-acetylneuraminate utilization	4262.345	4226.2065	3566.341	3475.0166	4594	4283.327	5674.1016	4933.504	3298.292	2918.8838	3652.1436
Tryptophan synthesis	4255.6084	3733.084	3581.7463	3876.8486	2968	3021.0574	3574.391	3498.85	3709.3657	3382.6387	3219.0054
Protein chaperones	4253.5874	3883.462	4168.5093	4208.277	3421	3657.1497	3332.0698	3424.233	4109.8535	4251.814	4006.5295
Flagellum	4232.7036	2959.7117	2421.8132	803.664	588	2357.5078	4594.948	3433.6384	2840.4656	212.91884	1537.1866
Cobalamin synthesis. Precorin-2 to Cob(II)yrinate a.c diamide. anaerobic	4187.5674	3635.436	3670.1006	3739.3623	3717	3883.6719	3614.066	3190.349	3412.0872	3648.0579	3498.4248
Xanthine dehydrogenase subunits	4128.2837	2958.735	2674.1895	2769.652	3579	2606.1482	5926.189	4984.2935	2796.359	2434.7124	1809.7913
Cell division related cluster including coaD	3953.8018	4302.372	4839.0957	4646.639	3260	4265.022	3200.2275	3179.6897	4380.668	3882.1228	4529.779
dTDP-rhamnose synthesis -- gjo	3848.7085	4294.56	5476.6055	5579.1553	4393	5097.891	3756.895	4197.3657	5448.93	4216.0845	4925.055
Antibiotic targets in metabolic pathways	3776.6252	3769.2136	3866.7456	4319.8604	3928	3790.6223	3105.6184	3147.711	4215.7095	4333.4814	4238.243
Biogenesis of c-type cytochromes	3770.562	3888.3442	4344.7646	4169.0903	3769	3810.4526	4084.0593	3880.0867	4191.892	4092.8542	4278.377
Magnesium transport	3767.8674	3638.3655	4275.4404	3623.13	3033	3270.4604	6310.1187	5655.22	4314.5083	4055.6663	3481.0085
Metal chelatases	3687.0264	2870.8518	2822.8057	2695.2632	2222	2724.367	3058.6191	2885.6106	2503.491	2205.7517	2336.8267
tRNA aminoacylation. Gln	3625.048	3132.5486	3367.8838	3154.8794	2709	2685.469	2549.5615	2851.7507	3310.6418	3883.5813	2854.018
tRNA thiolation	3574.5225	3388.3865	3126.8352	3095.1028	2637	3209.4443	2808.363	2767.7283	3572.6353	3179.199	2985.0198
Pyruvate Alanine Serine Interconversions	3570.4805	2971.4294	2810.119	2935.0342	2214	2517.675	2463.4978	2327.5503	3218.018	2909.4045	3150.854
RuvABC plus a hypothetical	3565.7646	3630.5535	3873.542	3765.2656	2928	3466.4746	2600.2231	2827.2966	3582.3386	3520.4524	3813.4346
Fe-S cluster assembly	3565.091	4164.688	4115.9497	3896.7742	3798	4326.038	2937.7637	2864.2915	4643.5435	3801.9138	4214.769
DNA repair. bacterial UvrD and related helicases	3553.6387	3012.4417	3573.5906	3657.6675	3196	2812.84	3665.338	3311.3667	3591.16	4337.8564	3177.3574
Chaperones GroEL GroES and Thermosome	3531.4072	3259.491	3736.706	3686.8916	2984	3378.0012	2749.156	2831.6858	3673.1982	3713.6836	3428.002
Coenzyme A Biosynthesis cluster	3512.5444	3382.5276	3342.9631	3641.727	2012	3061.4805	3273.4734	3056.164	3044.238	2329.7112	3178.8718
DNA repair. bacterial SbcCD exonuclease	3506.4812	3526.07	2989.9993	3327.5676	2619	2884.534	2906.6343	3135.7974	3415.6157	3131.8027	2732.8606
Glutamine synthetases	3490.9868	3557.3176	3688.2246	3857.5872	3232	3328.4258	3265.5383	3249.2905	3644.088	3561.2864	3531.7432
Trk and Ktr potassium uptake systems	3473.4712	3535.835	3372.4146	3732.7205	3018	3210.2073	3437.0554	3330.805	3510.886	3045.031	3003.1934
Pyruvate metabolism II: acetyl-CoA. acetogenesis from pyruvate	3406.7773	3494.8228	3719.4883	3890.7966	3019	3261.308	3296.0574	3013.5256	4502.4023	3958.686	3398.47
Potassium-transporting ATPase	3400.7144	2913.8171	2113.706	1928.1294	1983	2104.2913	1654.7429	2116.867	1838.3634	1967.3116	2105.1128
Hfl operon	3354.2307	3692.0718	3810.5613	3793.1614	3356	3446.6443	3998.606	3734.6147	4131.025	3666.2874	3672.5889
tRNA aminoacylation. Pro	3331.3257	3070.054	3241.922	3348.1572	2555	3061.4805	2703.9878	2663.6406	3321.2275	3430.7642	3027.4248
Molybdenum cofactor biosynthesis	3323.2415	2819.0984	2238.7615	2267.528	1960	2071.495	1794.5201	1754.4413	2084.4783	2191.8972	1625.7832
Replication-associated recombination protein RarA	3276.7578	3104.2307	3818.264	3603.8687	2774	3096.5647	2744.273	2871.816	3326.5203	3718.7878	3347.735
Arginine biosynthesis	3245.7688	3333.7036	2796.5261	3096.4312	2364	2711.401	2535.5227	2301.2148	3241.8357	2974.301	3197.8027
Two cell division clusters relating to chromosome partitioning	3179.7485	2588.6492	2781.1206	1991.8912	1381	2485.6416	1076.712	1662.2672	2709.0278	2240.0227	2613.9746
Fermentations: Lactate	3087.455	2540.8015	2915.238	2709.8752	3154	2561.9116	1293.3973	1136.1857	2273.2546	2950.9675	2605.645
Adenosyl nucleosidases	3054.445	3146.2192	3290.4038	3153.551	2440	2847.1616	2756.4805	2748.2903	3340.6345	2961.9053	2974.4185
DNA repair system including RecA. MutS and a hypothetical protein	3039.624	3162.8196	3390.9917	3159.5288	2257	3165.2078	2011.2054	2435.4001	3307.9956	3124.511	3462.835
tRNA aminoacylation. Lys	2995.8352	2526.1543	2813.744	2683.9722	2268	2613.0125	2481.1987	2187.0947	2866.0474	2722.0068	2333.7979
tRNA aminoacylation. Ala	2972.9302	2723.4033	2823.2588	2828.7644	2342	2581.7417	2685.6763	2640.4404	2762.838	2582.0054	2791.1675
tRNA aminoacylation. Phe	2943.9622	2767.345	2885.7866	2830.757	2722	2703.774	2345.0837	2444.8057	2868.6936	2956.801	2715.444
Methylthiotransferases	2927.794	2799.5688	3268.655	3018.0574	2194	2850.2124	2179.6707	2372.6968	3064.527	3077.8438	2954.7302
Murein hydrolase regulation and cell death	2896.1313	3147.1958	3619.8066	3372.0679	2366	3514.5247	3311.317	2900.0325	3327.4023	2436.9	3238.6934
Resistance to Triclosan	2838.869	2368.9412	2268.213	2259.5579	1957	2148.5278	2119.8533	2062.942	2237.0872	1809.81	2051.349
tRNA aminoacylation. Asp	2835.5005	2628.6848	2820.5403	2713.8604	2230	2429.2017	2367.0576	2478.0386	2863.401	2905.0295	2379.989
D-gluconate and ketogluconates metabolism	2758.7014	2263.4812	1952.856	2206.423	2034	1815.9904	1618.12	1310.5011	2222.973	1516.6821	2166.4487
Stringent Response. (p)ppGpp metabolism	2758.7014	2826.9104	3135.444	3105.7297	2545	2804.4504	2262.072	2256.6956	3140.3904	3230.2412	3054.6853
RNA polymerase. bacterial	2724.344	2383.5884	2561.3677	2484.7166	2010	2343.0166	2262.072	2224.7168	2737.256	2667.3188	2395.1338
Peptidase clustering with DAP	2708.8494	2603.2964	2916.144	2821.4585	1620	2298.017	2299.9155	2274.2524	2743.431	2122.6257	2546.5808
Ribonuclease H	2694.7021	2524.2014	2897.5671	2861.3096	1975	2414.7104	2209.579	2182.7056	2858.1082	3018.7808	2683.6401
NhaA. NhaD and Sodium-dependent phosphate transporters	2669.7764	2691.1794	3004.4983	2982.8555	2597	2956.2278	2370.7197	2310.6204	4138.964	3331.5964	2854.018
CRISPR proteins	2663.0396	2758.5566	2083.3484	2260.222	2461	3043.9385	1304.9946	1121.1368	1792.4926	944.28046	1882.4858
NiFe hydrogenase maturation	2649.566	1897.3011	1203.8837	1364.2363	2015	1464.3853	744.05444	1142.456	1738.6825	2566.6929	1525.0709
One-carbon metabolism by tetrahydropterines	2616.556	2657.0027	2505.1836	2683.9722	2041	2112.681	1646.808	1660.3861	2734.6096	3062.5312	2498.875
Type IV pilus	2586.914	1071.1989	426.8191	485.51935	313	450.7561	2796.1553	2282.4038	331.68167	111.56364	658.7943
Toxin-Antitoxin system HigAB	2578.83	2109.1973	2021.727	1206.1602	1672	2142.4263	2362.785	1803.9769	1764.2643	735.73663	1562.1754
Cardiolipin biosynthesis	2576.809	2399.212	1939.2631	2073.586	1917	1788.5331	2475.095	1904.9294	2606.7004	1941.0614	1659.1016
Fusidic acid resistance	2569.3987	2375.7764	2371.9724	2391.0664	2208	2027.2584	2115.5806	2109.3425	2397.6353	2484.2961	2345.9136
Pyruvate:ferredoxin oxidoreductase	2527.6306	2342.5762	2235.1365	2164.5793	1796	2150.816	1820.1561	2114.359	2290.8972	2626.485	2299.7222
Fatty Acid Biosynthesis FASII	2503.3784	2385.5413	2207.9507	2536.523	2501	2407.0833	2315.7854	2303.7231	2730.199	2590.7556	2380.7463
FtsEX cell-division-associated signaling system	2466.3262	2269.34	2691.4072	2539.1797	1833	2449.7947	2391.4727	1941.2974	2778.7163	2485.7544	2517.0486
Sporulation-associated proteins with broader functions	2413.106	2244.928	2054.35	2039.0483	1917	2313.2712	3382.121	2967.125	2701.9707	2309.2944	2125.558
Inositol catabolism	2409.7375	1675.6401	1491.1483	1429.3264	1437	1459.8091	1201.2299	995.73004	1811.0173	1456.8899	857.9471
Hyperosmotic potassium uptake	2394.243	2533.9663	2924.2998	2385.753	1834	2641.2324	1985.5693	2123.7644	2695.796	1958.5616	2629.8765
Putative oxidase COG2907	2360.559	1573.1096	1053.0017	1451.2445	1588	1039.561	2626.4695	2113.7317	1503.1532	1558.9742	977.59015
Purine nucleotide synthesis regulator	2341.6963	2202.9395	2267.3066	2267.528	2102	1979.2083	1662.6779	1869.8156	2529.0728	2660.027	2462.5276
Phd-Doc. YdcE-YdcD toxin-antitoxin (programmed cell death) systems	2302.623	2939.2056	2288.1492	2065.6157	1866	2290.3901	1693.8073	1637.1859	2659.6284	1828.7687	2253.5308
tRNA aminoacylation. Val	2230.5398	2033.0319	2057.0688	2131.37	1791	1875.481	1618.12	1640.9481	2052.7214	2151.7927	1982.4408
Histidine Biosynthesis	2219.0874	2049.632	1977.3234	1728.8739	1624	1931.1581	1468.5767	1573.2284	2310.304	1935.9572	1633.3555
Ribonuclease J family	2161.825	2210.7512	2458.9673	2300.7373	1915	2111.9182	2512.9385	2311.8745	2634.9287	2410.6497	1836.2944
Widespread colonization island	2154.4146	2015.4552	1686.887	1803.9269	2153	2010.479	2890.7644	2346.3613	2476.145	2002.312	1765.8716
HPr catabolite repression system	2147.004	2515.413	2792.9014	2175.8706	2560	3001.227	2768.6882	2566.4504	3531.175	2202.1057	2479.944
D-Galacturonate and D-Glucuronate Utilization	2105.91	6373.4863	4663.2935	5708.007	1884	5877.3716	952.19434	1152.4885	4008.4084	2320.9612	5972.311
Lambdoid phage	2060.0999	1553.5801	243.76718	395.85434	904	784.0563	1578.4453	1454.719	783.3333	405.4208	726.94543
tRNA aminoacylation. Met	2054.7104	1907.0659	2163.5469	2265.5354	1907	1850.3119	1798.1824	1800.2147	2235.3228	2556.4844	1997.5854
Entner-Doudoroff Pathway	2042.5844	2075.0205	1511.0846	1835.8077	2266	1572.6888	2786.9995	2407.1836	1905.4054	1776.9973	1606.0951
Damaged nicotinamide nucleotide NAD(P)HX repair	1988.6903	1846.5242	1635.6868	1549.544	1239	1617.6881	1226.8658	1405.8103	1625.7695	1623.1415	1572.0195
Carbonic anhydrase	1968.48	1823.0886	2027.1642	1982.5927	1075	1899.1246	1278.7482	1153.7427	1944.2192	1321.9927	2022.5742
Undecaprenyl-diphosphatases	1953.6592	1684.4285	1745.7898	1799.9418	1627	1600.146	1602.8605	1529.336	1986.5615	1881.2692	1647.743
tRNA aminoacylation. Ser	1949.6171	1934.4073	1990.9163	1980.6001	1407	1682.5177	1683.4308	1587.6501	2017.4362	2017.6248	1796.161
Methylglyoxal Metabolism	1919.9753	1903.16	1854.9867	1778.0236	1043	1691.67	1142.0228	1184.4673	1556.9633	1395.6392	1875.6707
tRNA nucleotidyltransferase	1893.0283	1889.4893	1764.3668	1706.9558	1710	1766.4148	1502.758	1377.5938	2278.5474	1701.8923	1740.1256
KDO2-Lipid A biosynthesis	1880.9022	2520.2954	2110.0813	2395.7158	170	2185.1375	316.78775	581.26056	1241.1599	385.0039	3172.814
D-3-phosphoglycerate to phosphoserine module	1880.9022	1767.4292	1773.882	1872.3379	1534	1219.5583	2361.564	1899.9132	1765.1464	1907.5194	1558.3893
L-serine dehydratase subunits	1866.0813	1856.289	1722.6818	1928.1294	1521	1637.5183	1785.9749	1662.8943	1681.3439	1701.1632	1774.2012
Amino acid racemase	1844.5237	1741.0642	1994.5411	2041.7051	1537	1563.5364	1883.0254	1613.9856	1945.9835	2078.8752	1856.7397
YoeB-YefM toxin-antitoxin system	1818.9241	1341.6838	1365.6399	1333.6837	2060	2174.4597	3208.773	2772.7446	1933.6337	1774.0806	2000.6144
tRNA aminoacylation. Leu	1795.3453	1677.593	1849.0963	1785.3296	1486	1686.3312	1354.4354	1416.47	1874.5308	1908.2485	1758.2993
Biotin biosynthesis	1793.998	1433.473	1744.4305	1780.6803	1378	1918.1923	1864.1035	1517.4224	1357.6013	1203.1372	1450.8619
Acetyl-CoA Pathway Wood-Ljungdahl	1775.8088	2184.3862	1895.3125	3305.6494	3826	1915.904	2993.3083	2769.6094	2552.8904	2948.0508	1541.7301
Methylenetetrahydrofolate reductase	1774.4614	1913.9012	1955.5746	1862.3751	1904	1775.5671	2029.5168	1860.41	1880.7057	1624.5999	1799.9471
Propanediol utilization	1756.9459	1727.3936	826.9054	1507.7003	1953	1221.0837	3725.7656	3894.5085	1427.2898	1276.0547	1191.1304
Sporulation proteins SpoIIIAA-SpoIIIAH	1750.2091	1409.061	1033.5184	1107.1967	1224	1105.916	1563.7961	1548.774	1133.5398	987.3017	939.7284
tRNA aminoacylation. Trp	1750.2091	1684.4285	1816.0201	1600.6862	1389	1450.6567	1283.6312	1388.8804	1793.3746	1755.1221	1633.3555
tRNA aminoacylation. Arg	1744.8197	1664.8988	1800.1617	1671.0898	1456	1577.265	1309.2672	1358.1558	1826.0135	1762.4138	1596.251
tRNA aminoacylation. Thr	1743.4724	1656.1105	1737.634	1699.6498	1485	1553.6213	1538.7705	1528.709	1857.7703	1857.9355	1690.9054
Bile hydrolysis	1740.104	1814.3003	1753.0394	1757.4338	1535	1410.2335	2052.1008	1865.4263	1914.2267	1873.2483	1609.124
Chemotaxis in Escherichia coli and Bacillus subtilis	1709.7886	1367.0724	1570.8937	556.58716	296	1247.0156	1898.2849	1679.8242	1890.4092	602.2978	945.7863
tRNA aminoacylation. His	1661.2839	1505.7325	1743.5243	1700.9781	1316	1380.4883	1162.1654	1298.5875	1644.2943	1801.06	1668.1884
tRNA aminoacylation. Glu	1659.263	1549.6742	1742.6182	1683.0452	1372	1452.9448	1361.1497	1409.5725	1662.8191	1690.9547	1609.124
Cell division initiation related cluster	1646.4631	1698.0991	1776.1475	2310.7002	2733	3082.8362	1186.5807	1073.4823	1822.485	2553.5676	2881.2786
tRNA aminoacylation. Cys	1645.1157	1688.3344	1787.0219	1645.1865	1408	1536.8419	1289.1246	1341.8529	1817.1923	1913.3528	1680.3041
Translation elongation factor G family	1641.0736	1330.9426	1542.8015	1534.9319	1514	1523.876	1760.3387	1553.7904	1534.9099	1362.8264	1296.386
tRNA aminoacylation. Gly	1631.6422	1613.1454	1754.3987	1762.0831	1355	1590.231	1335.5137	1313.0093	1743.0931	1844.8104	1708.3218
Fatty Acid Biosynthesis cluster	1607.3899	1865.0773	1720.8694	1997.8689	1653	1784.7196	1806.1174	1666.6565	1456.4001	1588.1411	2012.7302
tRNA aminoacylation. Tyr	1602.6742	1494.9912	1730.3845	1609.3206	1250	1443.7924	1415.4735	1339.9718	1646.0586	1702.6215	1615.1819
Isoprenoid Biosynthesis: Interconversions	1579.0955	1454.9556	1225.1793	1447.9236	1531	1616.1627	1840.2987	1674.1809	1606.3627	1277.5131	1190.3732
Acyl carrier protein	1568.9904	1382.696	1242.397	1298.4819	1266	1208.8806	1484.4465	1323.0419	1117.6614	1133.8657	1035.8972
DNA repair. bacterial DinG and relatives	1561.58	1468.6262	1869.0327	2095.5042	1881	1769.4656	2228.501	2224.7168	1990.9723	2215.231	1643.9568
RecA and RecX	1555.5168	1484.25	1524.6776	1526.2975	1046	1372.0985	1262.268	1222.0894	1564.0203	1218.45	1535.6722
Conjugative transfer	1539.3486	427.69833	0.45309883	2.6567404	0	0	26.856764	2.5081363	0	0.7291741	3.0289392
Mupirocin resistance	1530.5908	1339.7308	1532.3802	1580.7606	1468	1542.1808	1836.6365	1508.0168	1626.6516	1533.4531	1448.5902
