Pathway	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	3218_V6_D29
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	9.38E-07	4.84E-07	0	0	0	4.59E-07	2.03E-06	1.42E-07	2.53E-07	3.20E-07	0	5.79E-08
GLUCONEO-PWY: gluconeogenesis I	1.06E-05	2.18E-05	7.16E-06	4.91E-06	1.20E-05	3.18E-05	0	1.13E-06	1.57E-05	6.83E-06	8.24E-06	1.34E-05
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	3.41E-05	3.51E-05	2.16E-07	0	5.59E-06	9.35E-06	1.10E-05	6.20E-06	2.21E-07	0	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	7.55E-05	9.23E-05	0.000316509	9.40E-05	8.32E-05	0.000175347	7.40E-05	3.40E-05	0.00012113	5.62E-05	0.00025002	0.00022222
GLUDEG-I-PWY: GABA shunt	2.58E-06	7.82E-06	3.96E-07	8.47E-06	1.16E-06	5.60E-06	2.90E-06	1.10E-06	2.14E-06	1.32E-06	5.69E-07	8.10E-07
GLUTORN-PWY: L-ornithine biosynthesis	0.000233568	0.000184564	6.34E-05	6.43E-05	0.000361785	0.000361403	7.79E-05	0.00010783	0.000127493	0.000101878	0.000121768	9.54E-05
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.000180335	7.73E-05	1.81E-06	2.30E-06	6.51E-06	3.91E-05	7.27E-06	2.13E-06	1.50E-06	0	2.39E-06	1.45E-05
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.00042392	0.000389693	0.000352668	0.000550066	0.000263658	0.000341922	0.000676913	0.000500025	0.000321014	0.000186065	0.000268677	0.000422539
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	5.10E-06	8.37E-06	0	0	1.99E-06	1.98E-06	1.27E-06	3.56E-06	8.48E-08	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	2.97E-05	5.05E-05	5.65E-06	4.35E-06	5.97E-06	2.43E-05	7.67E-06	5.53E-06	1.42E-05	4.31E-05	2.64E-06	1.23E-05
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis. pyruvate dehydrogenase. TCA. and glyoxylate bypass	2.89E-05	2.71E-05	0	0	3.35E-06	9.34E-06	8.90E-06	9.14E-06	4.67E-07	0	0	9.14E-07
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	3.55E-05	7.45E-05	2.40E-05	3.18E-05	4.40E-05	5.13E-05	2.90E-05	2.52E-05	2.29E-05	0.00024903	1.30E-05	1.85E-05
GLYOXYLATE-BYPASS: glyoxylate cycle	2.47E-05	2.40E-05	0	0	4.79E-06	4.52E-06	8.33E-06	8.01E-06	1.09E-07	0	0	4.79E-07
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1.3-propanediol	0.000129796	3.69E-05	1.15E-05	5.20E-05	3.06E-05	1.70E-05	1.09E-05	1.04E-05	3.27E-05	1.18E-05	1.14E-05	2.48E-05
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0	0	0	0	0	0	2.33E-06	0	0	0	0	0
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	5.81E-06	1.84E-05	0	3.43E-06	1.58E-06	1.14E-05	4.03E-06	3.01E-06	2.00E-06	0	4.73E-06	2.94E-06
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	1.08E-05	2.50E-05	7.05E-06	4.91E-06	3.82E-06	1.52E-05	9.44E-06	1.25E-05	1.16E-05	3.07E-06	5.44E-06	3.83E-06
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	4.12E-05	7.45E-05	2.35E-05	3.67E-05	4.46E-05	5.48E-05	3.33E-05	2.56E-05	2.77E-05	0.000138149	1.42E-05	1.95E-05
HISDEG-PWY: L-histidine degradation I	4.52E-06	2.09E-05	2.69E-05	1.92E-05	4.72E-07	1.50E-06	5.41E-06	6.17E-06	1.13E-05	1.25E-05	9.38E-06	1.84E-05
HISTSYN-PWY: L-histidine biosynthesis	0.000375375	0.00030848	0.000325809	0.000372879	0.000455693	0.000261658	0.000218852	0.00025665	0.000295834	0.00045458	0.000342363	0.000336327
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.000299112	0.000215411	0.000187568	0.000165098	8.51E-05	8.77E-05	9.74E-05	0.000143233	0.00022688	0.000251607	0.000178956	0.000227102
HSERMETANA-PWY: L-methionine biosynthesis III	0.00011624	0.000126326	8.28E-05	0.000110065	4.04E-05	7.65E-05	6.10E-05	7.97E-05	0.00014989	0.000215233	4.41E-05	0.000100079
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.000875919	0.00080954	0.000927697	0.00083752	0.000752021	0.000723981	0.000870822	0.000866045	0.000800875	0.000704368	0.000908869	0.000954931
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	3.91E-06	4.38E-06	0	0	1.87E-07	7.18E-07	2.81E-06	1.88E-06	6.36E-08	0	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	1.37E-05	1.69E-05	0	0	4.42E-06	5.61E-06	8.96E-06	7.57E-06	3.04E-07	0	0	3.60E-07
LACTOSECAT-PWY: lactose and galactose degradation I	8.88E-05	4.90E-05	9.50E-05	0.000157241	0.000126281	8.67E-05	1.55E-05	1.25E-05	0.000135055	0.000130164	6.96E-05	7.28E-05
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	1.69E-07	0	0	0	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	1.50E-06	0	0	0	0	0	0	0	0	0	0	0
LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	0	0	0	0	0	0	0	0	0	0	0	0
LYSINE-DEG1-PWY: L-lysine degradation XI (mammalian)	0	0	0	0	0	0	0	0	0	0	0	0
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS: protein N-glycosylation (eukaryotic. high mannose)	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.00039422	0.000323565	0.000301705	0.000271312	0.000136469	0.000162594	0.000172595	0.000227185	0.000358147	0.000370055	0.00025814	0.000334479
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	0	0	0	0	0	0	0	9.00E-06	0.00012112	0	0
METHGLYUT-PWY: superpathway of methylglyoxal degradation	4.14E-06	5.30E-06	0	0	3.64E-07	1.93E-06	1.27E-06	2.52E-06	8.01E-07	0	0	0
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.000357932	0.000290083	0.000268652	0.000239906	0.000135755	0.000148883	0.000149564	0.000200973	0.000323235	0.000335098	0.000232987	0.000309212
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	1.37E-05	1.77E-05	9.98E-07	3.47E-06	1.10E-05	4.75E-06	8.79E-06	1.05E-05	2.50E-05	8.91E-05	0	1.70E-06
NADSYN-PWY: NAD biosynthesis II (from tryptophan)	0	0	0	0	0	0	0	1.83E-07	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis	1.11E-05	1.55E-05	6.89E-06	0	1.20E-06	3.43E-06	4.01E-06	3.96E-06	1.82E-07	0	0	1.09E-06
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.000743319	0.000670397	0.000640563	0.000738622	0.000725994	0.000651303	0.000822964	0.000792031	0.000693621	0.000574248	0.000554256	0.000704532
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.000566507	0.000523779	0.000527812	0.000410433	0.000292016	0.00038132	0.000364143	0.000441599	0.000496778	0.000393565	0.000401693	0.000499931
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.000269995	0.000170512	0.000207411	0.000301086	0.000385538	0.000218272	0.000109569	0.000153991	0.00021104	0.000195226	0.000258829	0.000298787
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	5.83E-07	0	0	0	0	0	2.25E-06	0	0	0	0	0
ORNDEG-PWY: superpathway of ornithine degradation	2.46E-06	0	0	0	0	0	1.49E-06	0	0	0	0	0
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	3.88E-05	2.63E-05	0	0	5.66E-06	7.48E-06	1.19E-05	1.47E-05	0	0	0	1.36E-06
P108-PWY: pyruvate fermentation to propanoate I	1.06E-05	8.23E-06	2.06E-06	1.09E-06	0	1.87E-05	8.53E-07	6.00E-06	2.34E-06	0	3.99E-06	8.74E-07
P122-PWY: heterolactic fermentation	1.10E-06	1.56E-05	6.37E-07	0	1.38E-06	0	0	1.25E-06	3.44E-06	0	0	0
P124-PWY: Bifidobacterium shunt	0	0	1.83E-05	8.83E-06	3.15E-05	1.42E-05	0	2.14E-06	1.07E-05	2.38E-05	1.61E-05	1.37E-05
P125-PWY: superpathway of (R.R)-butanediol biosynthesis	2.25E-07	3.17E-06	0	0	1.00E-06	8.01E-07	0	5.87E-07	0	0	0	0
P161-PWY: acetylene degradation	1.29E-05	1.92E-05	6.65E-06	7.15E-06	3.12E-06	3.18E-06	6.73E-06	5.82E-07	9.82E-06	1.50E-05	3.14E-06	5.40E-06
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	5.40E-06	8.28E-06	0	5.67E-06	0	0	0	0	2.78E-06	0	0	4.81E-06
P163-PWY: L-lysine fermentation to acetate and butanoate	0	0	0	0	0	0	0	0	0	0	0	0
P164-PWY: purine nucleobases degradation I (anaerobic)	9.22E-06	2.60E-05	2.44E-05	1.91E-05	3.04E-05	3.29E-05	1.68E-05	9.39E-06	3.16E-05	8.08E-06	1.50E-05	2.68E-05
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	2.82E-05	4.99E-05	3.48E-06	2.80E-06	2.72E-05	3.73E-05	2.28E-05	1.78E-05	1.11E-05	3.23E-05	1.13E-05	1.59E-05
P221-PWY: octane oxidation	0	0	0	0	0	0	0	0	0	0	0	0
P23-PWY: reductive TCA cycle I	1.32E-05	4.98E-06	0	0	0	3.72E-06	2.32E-06	2.60E-06	3.03E-06	0	0	6.50E-08
P261-PWY: coenzyme M biosynthesis I	0	0	0	0	0	0	0	0	0	0	0	0
P4-PWY: superpathway of L-lysine. L-threonine and L-methionine biosynthesis I	0.000218788	0.000119655	0.000180508	0.000217334	0.000109818	0.000142387	0.000115582	0.000116633	0.000196107	0.000204546	0.000174829	0.000165898
P42-PWY: incomplete reductive TCA cycle	2.69E-05	4.80E-05	2.53E-05	4.28E-05	5.00E-06	4.16E-05	6.30E-06	5.95E-06	4.44E-05	8.55E-05	1.59E-05	2.49E-05
P441-PWY: superpathway of N-acetylneuraminate degradation	4.70E-05	8.01E-05	2.10E-05	2.43E-05	1.71E-05	4.83E-05	1.38E-05	5.61E-06	3.13E-05	4.88E-05	1.07E-05	1.98E-05
P461-PWY: hexitol fermentation to lactate. formate. ethanol and acetate	0.000142973	8.00E-05	1.83E-05	7.64E-05	4.16E-05	5.82E-05	0.000105026	3.32E-05	0.000118038	0.000107675	1.64E-05	1.99E-05
P562-PWY: myo-inositol degradation I	0	0	0	0	2.73E-06	0	0	0	0	0	0	0
PANTO-PWY: phosphopantothenate biosynthesis I	0.000418127	0.00044613	0.000313941	0.000445626	0.000428825	0.000427344	0.000543483	0.000491218	0.000421259	0.000275304	0.000237106	0.000344937
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.000272776	0.000290431	0.000278537	0.000301781	0.000189687	0.000331449	0.000212	0.000209591	0.000314871	0.000205228	0.000212253	0.000275065
PENTOSE-P-PWY: pentose phosphate pathway	0.000117697	8.17E-05	7.81E-05	0.000150155	1.01E-05	3.05E-05	1.82E-05	1.58E-05	0.000135892	0.000132999	6.97E-05	6.26E-05
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.000701196	0.000660029	0.000661205	0.000762139	0.000776589	0.000611508	0.000809598	0.000808482	0.000724879	0.000622973	0.000537198	0.000675641
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	7.14E-05	0.000125746	6.60E-06	9.04E-06	1.68E-05	6.85E-05	3.21E-05	2.96E-05	1.99E-05	0	7.93E-06	8.50E-06
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	1.43E-05	3.17E-05	4.34E-06	4.60E-06	1.71E-06	6.06E-07	1.87E-06	4.81E-07	2.81E-05	2.40E-06	1.30E-06	0
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0.000184591	0.000126789	3.69E-05	5.69E-05	2.33E-05	4.90E-05	4.74E-05	5.64E-05	5.78E-05	2.63E-05	2.52E-05	7.73E-05
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	6.91E-06	1.02E-05	0	0	1.65E-06	1.37E-06	3.48E-06	3.31E-06	1.47E-06	2.97E-06	0	0
PPGPPMET-PWY: ppGpp biosynthesis	1.56E-05	2.13E-05	1.94E-05	3.31E-05	1.83E-05	2.98E-05	3.91E-05	1.68E-05	4.34E-05	4.51E-05	1.97E-06	6.15E-06
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0
PRPP-PWY: superpathway of histidine. purine. and pyrimidine biosynthesis	0.00013872	0.000107285	6.99E-05	7.65E-05	2.64E-05	0.000115162	3.47E-05	9.66E-05	0.000126941	0.000159427	0.000103977	0.000118837
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1042: glycolysis IV (plant cytosol)	0.000684569	0.000668379	0.000673327	0.000708426	0.000504526	0.000657916	0.000680236	0.000500818	0.000692392	0.000627719	0.000506277	0.000636554
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	6.35E-05	5.64E-05	6.48E-06	5.91E-06	3.75E-06	3.59E-05	9.21E-06	5.30E-05	8.85E-06	2.43E-07	1.33E-05	9.34E-06
PWY-181: photorespiration	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	8.58E-06	5.88E-06	1.87E-06	1.90E-05	1.58E-06	1.85E-06	0	0	3.80E-05	1.27E-05	0	2.51E-05
PWY-2201: folate transformations I	0	0	0	0	0	0	0	2.31E-06	0	0	0	0
PWY-241: C4 photosynthetic carbon assimilation cycle. NADP-ME type	2.98E-06	9.52E-07	0	0	4.01E-06	2.07E-06	0	0	5.67E-06	2.19E-06	2.75E-06	5.68E-06
PWY-2723: trehalose degradation V	5.67E-06	9.40E-06	0	0	3.30E-06	1.63E-06	3.71E-06	1.07E-06	2.21E-07	0	0	0
PWY-2941: L-lysine biosynthesis II	0.000163312	0.000159471	0.000131243	0.000152825	0.000247165	0.000150641	0.000102809	0.000118766	0.000179296	0.000346229	0.000141547	0.000122644
PWY-2942: L-lysine biosynthesis III	0.000423749	0.000470996	0.000421021	0.000494882	0.000457253	0.000424153	0.000645716	0.0007144	0.000520586	0.00043781	0.000300428	0.000430637
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.000395563	0.000330963	0.000424202	0.000405975	0.000326912	0.000385528	0.000245485	0.000268215	0.000432864	0.000436721	0.000358295	0.000428668
PWY-3502: superpathway of NAD biosynthesis in eukaryotes	0	0	0	0	0	0	0	2.29E-07	0	0	0	0
PWY-3661: glycine betaine degradation I	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3781: aerobic respiration I (cytochrome c)	1.48E-06	0	0	0	0	0	0	1.69E-05	0	0	1.11E-06	0
PWY-3801: sucrose degradation II (sucrose synthase)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-3841: folate transformations II	0.000421061	0.000365821	0.00026439	0.000352999	0.000330202	0.000377762	0.000442182	0.000408521	0.000191748	7.16E-05	0.00026261	0.000331531
PWY-4041: &gamma;-glutamyl cycle	1.01E-05	1.18E-05	0	0	1.13E-06	2.43E-06	5.29E-06	3.04E-06	0	0	0	2.61E-07
PWY-4242: pantothenate and coenzyme A biosynthesis III	8.49E-05	0.000101169	0.000164988	7.62E-05	6.83E-05	0.0001896	1.70E-05	0.000103997	0.00010719	0.000183204	0.000149556	0.000166962
PWY-4321: L-glutamate degradation IV	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4702: phytate degradation I	3.88E-06	5.67E-06	0	9.24E-07	1.02E-06	1.21E-05	2.70E-06	3.74E-05	0	1.36E-07	9.18E-06	5.54E-07
PWY-4722: creatinine degradation II	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4981: L-proline biosynthesis II (from arginine)	0.000226064	0.000124119	0.000118529	0.000158538	0.000332429	0.000159499	3.82E-05	6.98E-05	0.000112801	0.000272388	0.000181833	0.000124175
PWY-4984: urea cycle	1.06E-05	1.75E-05	5.11E-06	1.99E-06	2.86E-06	1.60E-05	0	1.52E-06	1.49E-05	5.32E-05	9.22E-06	4.56E-05
PWY-5004: superpathway of L-citrulline metabolism	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5005: biotin biosynthesis II	3.63E-05	1.74E-05	6.89E-06	1.35E-05	7.22E-06	3.35E-05	3.45E-06	2.89E-05	3.98E-06	0	1.74E-05	1.11E-05
PWY-5022: 4-aminobutanoate degradation V	2.55E-06	8.35E-06	0	7.94E-06	9.36E-07	0	0	1.64E-06	3.31E-06	9.59E-07	0	8.08E-07
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5030: L-histidine degradation III	2.53E-06	2.20E-05	2.42E-05	2.05E-05	8.57E-07	1.79E-06	6.02E-06	3.69E-06	1.43E-05	2.19E-06	1.09E-05	1.98E-05
PWY-5044: purine nucleotides degradation I (plants)	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose)	0	0	0	0	0	0	0	4.43E-07	0	0	0	0
