feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	method
Peptostreptococcaceae	Timepoint	treatment	0.068166495	0.235170268	12	12	0.78355911	0.864182493	StrainID
Unknown	Timepoint	treatment	0.028482762	0.102901521	12	12	0.793014523	0.864182493	StrainID
Staphylococcaceae	Timepoint	treatment	0.107221887	0.453051508	12	7	0.822306112	0.88475974	StrainID
Entomoplasmataceae	Timepoint	treatment	0.016202367	0.083202815	12	2	0.849501031	0.902594846	StrainID
Atopobiaceae	Timepoint	treatment	-0.01635646	0.13769034	12	10	0.910065482	0.947169907	StrainID
Tannerellaceae	Timepoint	treatment	0.047770191	0.419361215	12	9	0.913740381	0.947169907	StrainID
Leuconostocaceae	Timepoint	treatment	0.024655861	0.250245215	12	8	0.925342027	0.947639425	StrainID
Sutterellaceae	Timepoint	treatment	-0.021057208	0.40643329	12	9	0.960686445	0.972123189	StrainID
Desulfovibrionaceae	Timepoint	treatment	0.006809341	0.402003113	12	7	0.987140782	0.987140782	StrainID
Aerococcaceae	Timepoint	treatment	-0.050171666	0.050171666	12	1	0.340893457	0.696166813	V3-V4
Akkermansiaceae	Timepoint	treatment	1.087135489	0.618862627	12	10	0.13932037	0.696166813	V3-V4
Barnesiellaceae	Timepoint	treatment	-0.050171666	0.050171666	12	1	0.340893202	0.696166813	V3-V4
Burkholderiales.unclassified	Timepoint	treatment	-0.050171666	0.050171665	12	1	0.340900205	0.696166813	V3-V4
Carnobacteriaceae	Timepoint	treatment	-0.491741738	0.213995867	12	5	0.044412518	0.696166813	V3-V4
Christensenellaceae	Timepoint	treatment	0.591701497	0.302639691	12	6	0.107958849	0.696166813	V3-V4
Clostridiales.Family.XIII	Timepoint	treatment	0.408216694	0.148424882	12	12	0.040294658	0.696166813	V3-V4
Enterobacteriaceae	Timepoint	treatment	-0.218189596	0.127659685	12	8	0.148119213	0.696166813	V3-V4
Enterococcaceae	Timepoint	treatment	0.050171666	0.050171665	12	1	0.340899803	0.696166813	V3-V4
Eubacteriaceae	Timepoint	treatment	0.264013657	0.170282266	12	8	0.181727435	0.696166813	V3-V4
Fusobacteriaceae	Timepoint	treatment	-0.050171666	0.050171665	12	1	0.340896828	0.696166813	V3-V4
Gemellaceae	Timepoint	treatment	-0.238044681	0.110545241	12	5	0.083886999	0.696166813	V3-V4
Lactobacillaceae	Timepoint	treatment	0.543186274	0.388753695	12	7	0.221179107	0.696166813	V3-V4
Leuconostocaceae	Timepoint	treatment	-0.345433751	0.178438172	12	4	0.11065428	0.696166813	V3-V4
Methanobacteriaceae	Timepoint	treatment	0.191423788	0.191423788	12	2	0.363217467	0.696166813	V3-V4
Micrococcaceae	Timepoint	treatment	0.08093134	0.052654869	12	4	0.184894792	0.696166813	V3-V4
Muribaculaceae	Timepoint	treatment	-0.050171666	0.050171665	12	1	0.340898392	0.696166813	V3-V4
Pasteurellaceae	Timepoint	treatment	-0.717015605	0.459975512	12	6	0.150099569	0.696166813	V3-V4
Peptococcaceae	Timepoint	treatment	-0.050171666	0.050171666	12	1	0.340893136	0.696166813	V3-V4
Prevotellaceae	Timepoint	treatment	-0.486026636	0.202059773	12	6	0.061213878	0.696166813	V3-V4
Pseudomonadaceae	Timepoint	treatment	-0.050171666	0.050171665	12	1	0.340911451	0.696166813	V3-V4
Staphylococcaceae	Timepoint	treatment	-0.106192194	0.067312514	12	2	0.165769232	0.696166813	V3-V4
Streptococcaceae	Timepoint	treatment	-0.384919244	0.279352936	12	12	0.198285034	0.696166813	V3-V4
Unknown	Timepoint	treatment	-0.252617313	0.248506707	12	4	0.356014176	0.696166813	V3-V4
Alcaligenaceae	Timepoint	treatment	-0.281875112	0.383519099	12	10	0.495361934	0.813808892	V3-V4
Corynebacteriaceae	Timepoint	treatment	0.075087727	0.099954979	12	4	0.486354367	0.813808892	V3-V4
Ruminococcaceae	Timepoint	treatment	0.089887365	0.11258473	12	12	0.460862339	0.813808892	V3-V4
Turicibacteraceae	Timepoint	treatment	-0.164876599	0.20196194	12	11	0.451412672	0.813808892	V3-V4
Bifidobacteriaceae	Timepoint	treatment	0.278350778	0.51532199	12	12	0.612274417	0.85347343	V3-V4
Clostridiales.unclassified	Timepoint	treatment	0.092058074	0.168172448	12	12	0.607639324	0.85347343	V3-V4
Dehalobacteriaceae	Timepoint	treatment	-0.090146761	0.149018311	12	2	0.558696963	0.85347343	V3-V4
Peptoniphilaceae	Timepoint	treatment	0.031754426	0.054921227	12	7	0.588204728	0.85347343	V3-V4
Veillonellaceae	Timepoint	treatment	-0.190315065	0.330163077	12	12	0.589301907	0.85347343	V3-V4
Bacteroidaceae	Timepoint	treatment	0.137039739	0.296991115	12	12	0.66387066	0.858366295	V3-V4
Coriobacteriaceae	Timepoint	treatment	0.178830296	0.394315758	12	11	0.669178587	0.858366295	V3-V4
Erysipelotrichaceae	Timepoint	treatment	-0.036052764	0.09125757	12	12	0.7090852	0.858366295	V3-V4
Mollicutes.unclassified	Timepoint	treatment	0.114134049	0.292600708	12	4	0.704665921	0.858366295	V3-V4
Peptostreptococcaceae	Timepoint	treatment	0.205729808	0.468273437	12	9	0.678755465	0.858366295	V3-V4
Actinomycetaceae	Timepoint	treatment	-0.091646111	0.279877708	12	5	0.750079045	0.865159508	V3-V4
Lachnospiraceae	Timepoint	treatment	0.021972415	0.065891114	12	12	0.752312615	0.865159508	V3-V4
Porphyromonadaceae	Timepoint	treatment	0.076746035	0.286006651	12	11	0.799159283	0.896617732	V3-V4
Clostridiaceae	Timepoint	treatment	-0.038462349	0.215387838	12	12	0.865283431	0.904614496	V3-V4
Odoribacteraceae	Timepoint	treatment	-0.0816338	0.367469419	12	7	0.832985008	0.904614496	V3-V4
Rikenellaceae	Timepoint	treatment	0.068140037	0.365399313	12	10	0.859397649	0.904614496	V3-V4
Desulfovibrionaceae	Timepoint	treatment	0.0012554	0.372479581	12	9	0.997441164	0.997441164	V3-V4
Paraprevotellaceae	Timepoint	treatment	-0.005138176	0.316202713	12	6	0.987663717	0.997441164	V3-V4
Pseudomonadaceae	Timepoint	treatment	0.195815867	0.041740491	12	12	0.005378979	0.252812007	Bracken
Akkermansiaceae	Timepoint	treatment	0.86642572	0.490312354	12	12	0.107659505	0.870483723	Bracken
Campylobacteraceae	Timepoint	treatment	-0.223734954	0.12424155	12	12	0.131620901	0.870483723	Bracken
Clostridiales.Family.XIII	Timepoint	treatment	0.17387475	0.092044116	12	12	0.117505189	0.870483723	Bracken
Enterobacteriaceae	Timepoint	treatment	0.073015838	0.026623617	12	12	0.040669975	0.870483723	Bracken
Lawsonellaceae	Timepoint	treatment	0.437132457	0.255797891	12	7	0.148167442	0.870483723	Bracken
Micrococcaceae	Timepoint	treatment	-0.37267792	0.176703136	12	12	0.088727338	0.870483723	Bracken
Oscillospiraceae	Timepoint	treatment	0.251563678	0.130813868	12	12	0.112485658	0.870483723	Bracken
Actinomycetaceae	Timepoint	treatment	-0.151617059	0.127861287	12	12	0.288979152	0.90546801	Bracken
Bacillaceae	Timepoint	treatment	0.084721974	0.069125463	12	12	0.274915353	0.90546801	Bracken
Bacteroidaceae	Timepoint	treatment	0.440594526	0.306496058	12	12	0.181115511	0.90546801	Bracken
Bifidobacteriaceae	Timepoint	treatment	-0.155046123	0.108591129	12	12	0.212709671	0.90546801	Bracken
Eubacteriaceae	Timepoint	treatment	0.059991503	0.043534616	12	12	0.226675319	0.90546801	Bracken
Lactobacillaceae	Timepoint	treatment	0.228657015	0.168141674	12	12	0.23196556	0.90546801	Bracken
Paenibacillaceae	Timepoint	treatment	0.07390472	0.059757396	12	12	0.271100581	0.90546801	Bracken
Pasteurellaceae	Timepoint	treatment	-0.446257051	0.434286597	12	12	0.328368675	0.907842808	Bracken
Tannerellaceae	Timepoint	treatment	0.358360193	0.322003321	12	12	0.316370537	0.907842808	Bracken
Christensenellaceae	Timepoint	treatment	0.023453019	0.03800892	12	12	0.564219269	0.914424332	Bracken
Clostridiaceae	Timepoint	treatment	0.059428304	0.087634384	12	12	0.527791355	0.914424332	Bracken
Coriobacteriaceae	Timepoint	treatment	-0.089061421	0.135766274	12	12	0.540811749	0.914424332	Bracken
Enterococcaceae	Timepoint	treatment	0.063368746	0.072741334	12	12	0.423517849	0.914424332	Bracken
Fusobacteriaceae	Timepoint	treatment	0.095691742	0.112491355	12	12	0.433795296	0.914424332	Bracken
Hungateiclostridiaceae	Timepoint	treatment	0.14630681	0.176558657	12	8	0.445039497	0.914424332	Bracken
Listeriaceae	Timepoint	treatment	0.074251143	0.096475095	12	12	0.47628071	0.914424332	Bracken
Methanobacteriaceae	Timepoint	treatment	0.176383173	0.227889219	12	12	0.473926765	0.914424332	Bracken
Rikenellaceae	Timepoint	treatment	0.347293224	0.395071255	12	12	0.419600155	0.914424332	Bracken
Staphylococcaceae	Timepoint	treatment	0.050466642	0.060390456	12	12	0.441430906	0.914424332	Bracken
Vallitaleaceae	Timepoint	treatment	0.060828507	0.089042469	12	12	0.524880665	0.914424332	Bracken
Veillonellaceae	Timepoint	treatment	-0.120648466	0.187679825	12	12	0.548641405	0.914424332	Bracken
Acidaminococcaceae	Timepoint	treatment	0.022803988	0.130503252	12	12	0.868140176	0.921614679	Bracken
Atopobiaceae	Timepoint	treatment	-0.043152069	0.111754695	12	12	0.715283111	0.921614679	Bracken
Clostridiales.unclassified	Timepoint	treatment	0.01861207	0.04234335	12	12	0.678610258	0.921614679	Bracken
Desulfovibrionaceae	Timepoint	treatment	-0.058509537	0.246872377	12	12	0.822058546	0.921614679	Bracken
Eggerthellaceae	Timepoint	treatment	0.033724357	0.157861569	12	12	0.839271783	0.921614679	Bracken
Erysipelotrichaceae	Timepoint	treatment	-0.011154191	0.069568568	12	12	0.878894465	0.921614679	Bracken
Lachnospiraceae	Timepoint	treatment	-0.014025139	0.049588356	12	12	0.788641363	0.921614679	Bracken
Leuconostocaceae	Timepoint	treatment	-0.175163087	0.341947999	12	9	0.630292759	0.921614679	Bracken
Odoribacteraceae	Timepoint	treatment	0.13080708	0.32195569	12	12	0.701335275	0.921614679	Bracken
Peptostreptococcaceae	Timepoint	treatment	0.020649735	0.072281593	12	12	0.78657685	0.921614679	Bracken
Podoviridae	Timepoint	treatment	0.074718204	0.143698867	12	9	0.625281183	0.921614679	Bracken
Porphyromonadaceae	Timepoint	treatment	-0.15925116	0.285180992	12	9	0.600638236	0.921614679	Bracken
Prevotellaceae	Timepoint	treatment	-0.045463422	0.308004789	12	12	0.888421169	0.921614679	Bracken
Saccharomycetaceae	Timepoint	treatment	-0.042955816	0.331689969	12	9	0.902005856	0.921614679	Bracken
Selenomonadaceae	Timepoint	treatment	-0.027994639	0.141981338	12	12	0.851458103	0.921614679	Bracken
Streptococcaceae	Timepoint	treatment	-0.064629699	0.205151872	12	12	0.759211666	0.921614679	Bracken
Turicibacteraceae	Timepoint	treatment	-0.089432237	0.223364996	12	12	0.705406447	0.921614679	Bracken
Ruminococcaceae	Timepoint	treatment	-0.006471961	0.162642127	12	12	0.969798452	0.969798452	Bracken
Acidaminococcaceae	Timepoint	treatment	-0.091583073	0.057599447	11	5	0.186533923	0.860389475	GTDB
Anaerovoracaceae	Timepoint	treatment	0.239720906	0.157506038	11	2	0.178169716	0.860389475	GTDB
Bacteroidaceae	Timepoint	treatment	0.493931296	0.23235976	11	11	0.102607973	0.860389475	GTDB
CAG.1000	Timepoint	treatment	0.060205999	0.054346204	11	1	0.296686026	0.860389475	GTDB
Clostridiales.unclassified	Timepoint	treatment	0.315516321	0.166346056	11	9	0.125234456	0.860389475	GTDB
Oscillospiraceae	Timepoint	treatment	0.089189054	0.06164537	11	5	0.221905112	0.860389475	GTDB
Rikenellaceae	Timepoint	treatment	0.379094944	0.281724164	11	8	0.254840982	0.860389475	GTDB
Streptococcaceae	Timepoint	treatment	-0.150985632	0.114123488	11	2	0.236644687	0.860389475	GTDB
Tannerellaceae	Timepoint	treatment	0.180624728	0.142262403	11	7	0.276651929	0.860389475	GTDB
Turicibacteraceae	Timepoint	treatment	-0.217608878	0.123951745	11	3	0.13559801	0.860389475	GTDB
Bifidobacteriaceae	Timepoint	treatment	-0.177288938	0.202203276	11	11	0.4033991	0.945399133	GTDB
Selenomonadaceae	Timepoint	treatment	-0.110084096	0.119042887	11	2	0.401664777	0.945399133	GTDB
UBA1381	Timepoint	treatment	0.149154427	0.178017838	11	11	0.423799611	0.945399133	GTDB
Akkermansiaceae	Timepoint	treatment	0.090922045	0.151106258	11	3	0.600969337	0.993215015	GTDB
Coriobacteriaceae	Timepoint	treatment	-0.145608035	0.338561687	11	8	0.684975872	0.993215015	GTDB
Enterobacteriaceae	Timepoint	treatment	-0.164194339	0.21531707	11	5	0.484455283	0.993215015	GTDB
Erysipelotrichaceae	Timepoint	treatment	0.053457364	0.100994687	11	11	0.62456334	0.993215015	GTDB
Lachnospiraceae	Timepoint	treatment	-0.020092061	0.034389738	11	11	0.590008134	0.993215015	GTDB
Ruminococcaceae	Timepoint	treatment	0.024471031	0.044533581	11	11	0.609641727	0.993215015	GTDB
Sutterellaceae	Timepoint	treatment	0.072135674	0.157531619	11	4	0.657870243	0.993215015	GTDB
Clostridiaceae	Timepoint	treatment	0.027196219	0.360241955	11	10	0.942768209	0.999984185	GTDB
Desulfovibrionaceae	Timepoint	treatment	-0.01609902	0.174371062	11	5	0.928461326	0.999984185	GTDB
Eggerthellaceae	Timepoint	treatment	0.056113705	0.171971814	11	9	0.76003561	0.999984185	GTDB
Eubacteriaceae	Timepoint	treatment	0.005564755	0.115557711	11	10	0.963839155	0.999984185	GTDB
Odoribacteraceae	Timepoint	treatment	0.009416615	0.081811229	11	4	0.913915262	0.999984185	GTDB
Peptostreptococcaceae	Timepoint	treatment	0.072068678	0.212899356	11	9	0.748649177	0.999984185	GTDB
Prevotellaceae	Timepoint	treatment	-0.011629533	0.290361186	11	5	0.969727189	0.999984185	GTDB
UBA1820	Timepoint	treatment	-5.24E-11	1.87E-06	11	1	0.999984185	0.999984185	GTDB
Veillonellaceae	Timepoint	treatment	0.028295174	0.274058029	11	9	0.922104825	0.999984185	GTDB
