Taxonomy	1103_V2_D1	1103_V6_D29	2103_V2_D1	2103_V6_D29	2202_V2_D1	2202_V5_D22	3204_V2_D1	3204_V6_D29	3216_V2_D1	3216_V6_D29	3218_V2_D1	taxonomy
Prevotella dentalis	0	0	0	0	0	0	0	0	0	0	0	Prevotella dentalis
Odoribacter splanchnicus	0	0	0.695141968	0.45941207	0	0	0	0	0	0	0.359670884	Odoribacter splanchnicus
Streptococcus salivarius	0	0	0.366557241	0	0	0	0	0	0.789148577	0	0	Streptococcus salivarius
Prevotella intermedia	0	0	0	0	0	0	0	0	0	0	0	Prevotella intermedia
Prevotella denticola	0	0	0	0	0	0	0	0	0	0	0	Prevotella denticola
Petrimonas mucosa	0	0	0	0	0	0	0	0	0	0	0	Petrimonas mucosa
Prevotella ruminicola	0	0	0	0	0	0	0	0	0	0	0	Prevotella ruminicola
Paraprevotella xylaniphila	0	0	0	0	0	0	0	0	0	0	0	Paraprevotella xylaniphila
Prevotella oris	0	0	0	0	0	0	0	0	0	0	0	Prevotella oris
Parabacteroides sp. CT06	0	0	0	0	0	0	0	0	0	0	0	Parabacteroides sp. CT06
Bacteroides helcogenes	0	0	0	0	0	0	0	0	0	0	0	Bacteroides helcogenes
Prevotella scopos	0	0	0	0	0	0	0	0	0	0	0	Prevotella scopos
Rothia mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	Rothia mucilaginosa
Streptococcus parasanguinis	0	0	0	0	0	0	0	0	0	0	0	Streptococcus parasanguinis
Bacteroides cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	Bacteroides cellulosilyticus
Bacteroides zoogleoformans	0	0	0	0	0	0	0	0	0	0	0	Bacteroides zoogleoformans
Prevotella enoeca	0	0	0	0	0	0	0	0	0	0	0	Prevotella enoeca
Prevotella melaninogenica	0	0	0	0	0	0	0	0	0	0	0	Prevotella melaninogenica
Barnesiella viscericola	0	0	0	0	0	0	0	0	0	0	0	Barnesiella viscericola
Bacteroides heparinolyticus	0	0	0	0	0	0	0	0	0	0	0	Bacteroides heparinolyticus
Veillonella dispar	0	0	0	0	0	0	0	0	0	0	0	Veillonella dispar
Olsenella sp. GAM18	0	0	0	0	0	0	0	0	0	0	0	Olsenella sp. GAM18
Bifidobacterium angulatum	0	0	0	0	0	0	0	0	1.58901243	8.015137822	0	Bifidobacterium angulatum
Bacteroides intestinalis	0	0	0	0	0	0.361201797	0	0	0	0	0	Bacteroides intestinalis
Bacteroides stercoris	0	0	4.837208163	7.606257408	0	0	0	0	0	0	4.080899608	Bacteroides stercoris
Ruminococcus sp. CAG:403	0	0	2.460251354	0.69058744	0	0	0	0	0	0	0	Ruminococcus sp. CAG:403
Eubacterium sp. CAG:115	0	0	2.297030794	0.452065395	0	0	0	0	0	0	0	Eubacterium sp. CAG:115
Roseburia faecis	0	0	2.132279086	0	0.744463523	3.555379823	0	0	1.936313441	0	0.605837109	Roseburia faecis
Faecalibacterium sp. CAG:74	0	0	1.016377177	1.561413304	0	0	0	0	0	0.869859919	0	Faecalibacterium sp. CAG:74
Subdoligranulum sp. APC924/74	0	0	0.909196698	1.502150127	1.676296231	4.072069376	0	0	2.272268865	8.794622684	9.707282497	Subdoligranulum sp. APC924/74
Coprococcus comes	0	0	0.907359318	0.875233869	1.223852912	0.521498453	0	0	1.764238711	0	0.649419067	Coprococcus comes
Eubacterium sp. CAG:248	0	0	0.878573703	0	0	0	0	0	0	0	0	Eubacterium sp. CAG:248
Firmicutes bacterium CAG:341	0	0	0.874592714	1.158325742	0	0	0	0	0	0	0	Firmicutes bacterium CAG:341
Alistipes putredinis	0	0	0.691773439	0.498104558	0	0.397535706	0	0	0	0	0.586680204	Alistipes putredinis
Alistipes communis	0	0	0.607253975	0.458432513	0	0.408756472	0	0	0	0	1.947299355	Alistipes communis
Roseburia sp. TF10-5	0	0	0.570812612	0	0	0.905676105	0	0	0.419786703	0	0	Roseburia sp. TF10-5
[Ruminococcus] lactaris	0	0	0.501298415	0.499084115	0	0	0	0	0	0	0	[Ruminococcus] lactaris
Faecalibacterium sp. CAG:74_58_120	0	0	0.460569833	0.710178573	0	0	0	0	0	0.422503389	0	Faecalibacterium sp. CAG:74_58_120
Coprococcus eutactus	0	0	0.455057694	0	0	0	0	0	0	0	1.001427189	Coprococcus eutactus
Blautia faecis	0	0	0.397180235	0.323743474	0	0	0	0	0	0	0.303636938	Blautia faecis
uncultured Clostridium sp.	0	0	0.389218256	0.470676972	0.355312136	0	0	0	0.31074301	0.481247176	0.259097135	uncultured Clostridium sp.
Clostridium sp. CAG:417	0	0	0.382481197	0	0	0	0	0	0	0	0	Clostridium sp. CAG:417
Clostridium sp. CAG:433	0	0	0.379418898	0	0	0	0	0	0	0	0	Clostridium sp. CAG:433
Firmicutes bacterium CAG:103	0	0	0.312660771	0	0	0	0	0	0.562867156	2.545187528	1.271060622	Firmicutes bacterium CAG:103
Prevotella copri	0	0	0.280200397	0	0	0	0	0	25.93790182	5.021464076	0	Prevotella copri
Akkermansia muciniphila	0	0	0	0	0	1.717311504	0	3.209325038	0	0	2.675261731	Akkermansia muciniphila
Oscillibacter valericigenes	0	0	0	0	0	0	0	0	0	0	0	Oscillibacter valericigenes
Ruminococcaceae bacterium CPB6	0	0	0	0	0	0	0	0	0	0	0	Ruminococcaceae bacterium CPB6
Paenibacillus polymyxa	0	0	0	0	0	0	0	0	0	0	0	Paenibacillus polymyxa
Neglecta timonensis	0	0	0	1.530067491	0	0	0	0	0	0	0	Neglecta timonensis
Ruminococcus sp. CAG:177	0	0	0	0.907559239	0	0	0	0	1.959004614	3.582806146	0	Ruminococcus sp. CAG:177
Ruminococcus sp. AF41-9	0	0	0	0.393781774	0	0	0	0	0	0	0	Ruminococcus sp. AF41-9
[Eubacterium] siraeum	0	0	0	0.382516873	0	0	0	0	0.645437814	0.446791685	0.315610004	[Eubacterium] siraeum
Subdoligranulum sp. 60_17	0	0	0	0.358027957	0	0	0	0	0	0	0	Subdoligranulum sp. 60_17
Eubacterium ramulus	0	0	0	0.349211947	0	0	0	0	0	0	0	Eubacterium ramulus
Blautia massiliensis	0	0	0	0.332559484	0.487535876	0	0	0	0	0	0	Blautia massiliensis
Dialister hominis	0	0	0	0.328151479	0	0	0	0	0	0	0	Dialister hominis
Dialister sp. CAG:357	0	0	0	0.326682144	0	0	0	0	0	0	0	Dialister sp. CAG:357
Alistipes ihumii	0	0	0	0.291418104	0	0	0	0	0	0	0	Alistipes ihumii
Eggerthella sp. CAG:298	0	0	0	0.287010099	0	0	0	0	0	0	0	Eggerthella sp. CAG:298
Firmicutes bacterium CAG:124	0	0	0	0.267908745	0	0	0	0	0	0.301061907	0.505742282	Firmicutes bacterium CAG:124
uncultured crAssphage	0	0	0	0	0	0	0	0	0	0	0	uncultured crAssphage
Clostridium baratii	0	0	0	0	0	0	0	0	0	0	0	Clostridium baratii
Clostridium septicum	0	0	0	0	0	0	0	0	0	0	0	Clostridium septicum
Clostridium butyricum	0	0	0	0	0	0	0	0	0	0	0	Clostridium butyricum
Slackia heliotrinireducens	0	0	0	0	0	0	0	0	0	0	0	Slackia heliotrinireducens
Clostridium chauvoei	0	0	0	0	0	0	0	0	0	0	0	Clostridium chauvoei
Clostridium isatidis	0	0	0	0	0	0	0	0	0	0	0	Clostridium isatidis
uncultured Blautia sp.	0	0	0	0	0.407324318	0	0	0	0	0	0	uncultured Blautia sp.
Dialister invisus	0	0	0	0	0.296406773	1.443738545	0.551103777	0.971659553	0	0	0.770586489	Dialister invisus
Blautia sp. KLE 1732	0	0	0	0	0.2801138	0	0	0	0	0	0	Blautia sp. KLE 1732
Faecalicatena fissicatena	0	0	0	0	0.262567522	0	0	0	0	0	0	Faecalicatena fissicatena
Turicibacter sanguinis	0	0	0	0	0.250034466	0	0	0	0	0	0	Turicibacter sanguinis
uncultured Ruminococcus sp.	0	0	0	0	0.238754716	0	0	0	0	0	0	uncultured Ruminococcus sp.
Butyricimonas virosa	0	0	0	0	0	0.275175926	0	0	0	0	0	Butyricimonas virosa
Eubacterium callanderi	0	0	0	0	0	0	0	0	0	0	0	Eubacterium callanderi
Streptococcus agalactiae	0	0	0	0	0	0	0	0	0	0	0	Streptococcus agalactiae
Alkaliphilus metalliredigens	0	0	0	0	0	0	0	0	0	0	0	Alkaliphilus metalliredigens
Enterocloster bolteae	0	0	0	0	0	0	0.518817795	1.21310497	0	0	0	Enterocloster bolteae
Saccharomyces cerevisiae	0	0	0	0	0	0	0	0	0	0	0	Saccharomyces cerevisiae
Streptococcus equi	0	0	0	0	0	0	0	0	0	0	0	Streptococcus equi
Herbinix luporum	0	0	0	0	0	0	0	0	0	0	0	Herbinix luporum
Streptococcus equinus	0	0	0	0	0	0	0	0	0	0	0	Streptococcus equinus
Mogibacterium diversum	0	0	0	0	0	0	0	0	0	0	0	Mogibacterium diversum
Actinomyces viscosus	0	0	0	0	0	0	0	0	0	0	0	Actinomyces viscosus
Streptococcus oralis	0	0	0	0	0	0	0	0	0	0	0	Streptococcus oralis
[Clostridium] leptum	0	0	0	0	0	0	0	2.951602402	0	0.938770899	0	[Clostridium] leptum
Tyzzerella nexilis	0	0	0	0	0	0	0	1.080626492	0	0	0	Tyzzerella nexilis
Firmicutes bacterium CAG:646	0	0	0	0	0	0	0	0.522679592	0	0	0	Firmicutes bacterium CAG:646
Blautia caecimuris	0	0	0	0	0	0	0	0.309267163	0	0	0	Blautia caecimuris
Oscillospiraceae bacterium	0	0	0	0	0	0	0	0.269930551	0	0	0	Oscillospiraceae bacterium
Methanobrevibacter smithii	0	0	0	0	0	0	0	0	0.75952399	5.039539087	0	Methanobrevibacter smithii
Prevotella fusca	0	0	0	0	0	0	0	0	0	0	0	Prevotella fusca
Streptococcus sp. HSISM1	0	0	0	0	0	0	0	0	0	0	0	Streptococcus sp. HSISM1
Prevotella jejuni	0	0	0	0	0	0	0	0	0	0	0	Prevotella jejuni
Veillonella parvula	0	0	0	0	0	0	0	0	0	0	0	Veillonella parvula
Streptococcus sp. FDAARGOS_192	0	0	0	0	0	0	0	0	0	0	0	Streptococcus sp. FDAARGOS_192
Prevotella sp. oral taxon 299	0	0	0	0	0	0	0	0	0	0	0	Prevotella sp. oral taxon 299
Streptococcus mitis	0	0	0	0	0	0	0	0	0	0	0	Streptococcus mitis
Desulfovibrio piger	0	0	0	0	0	0	0	0	0	0	0	Desulfovibrio piger
Phocaeicola salanitronis	0	0	0	0	0	0	0	0	0	0	0	Phocaeicola salanitronis
Staphylococcus aureus	0	0	0	0	0	0	0	0	0	0	0	Staphylococcus aureus
Streptococcus sp. HSISS1	0	0	0	0	0	0	0	0	0	0	0	Streptococcus sp. HSISS1
Bacillus subtilis	0	0	0	0	0	0	0	0	0	0	0	Bacillus subtilis
Ruminococcus sp. CAG:254	0	0	0	0	0	0	0	0	2.225625898	0	0	Ruminococcus sp. CAG:254
Eubacterium sp. CAG:251	0	0	0	0	0	0	0	0	1.539217911	3.599751469	0.894627446	Eubacterium sp. CAG:251
Holdemanella biformis	0	0	0	0	0	0	0	0	1.069006379	0.561455038	0	Holdemanella biformis
Prevotella sp. CAG:279	0	0	0	0	0	0	0	0	1.065224517	0.351897876	0	Prevotella sp. CAG:279
Clostridium sp. CAG:221	0	0	0	0	0	0	0	0	0.729269092	1.059647537	0	Clostridium sp. CAG:221
Firmicutes bacterium CAG:110	0	0	0	0	0	0	0	0	0.543957845	0	0	Firmicutes bacterium CAG:110
Clostridium sp. CAG:167	0	0	0	0	0	0	0	0	0.506139223	0	0	Clostridium sp. CAG:167
Firmicutes bacterium CAG:176	0	0	0	0	0	0	0	0	0.497314878	0.343990059	0	Firmicutes bacterium CAG:176
Firmicutes bacterium CAG:194	0	0	0	0	0	0	0	0	0.298767113	0.635449616	0	Firmicutes bacterium CAG:194
Clostridium sp. CAG:343	0	0	0	0	0	0	0	0	0.272924388	0	0	Clostridium sp. CAG:343
Lactiplantibacillus plantarum	0	0	0	0	0	0	0	0	0	0	0	Lactiplantibacillus plantarum
Gordonibacter massiliensis	0	0	0	0	0	0	0	0	0	0	0	Gordonibacter massiliensis
Adlercreutzia equolifaciens	0	0	0	0	0	0	0	0	0	0	0.341471825	Adlercreutzia equolifaciens
Clostridium saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	Clostridium saccharoperbutylacetonicum
Arabia massiliensis	0	0	0	0	0	0	0	0	0	0	0	Arabia massiliensis
Clostridium saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	Clostridium saccharobutylicum
Parolsenella catena	0	0	0	0	0	0	0	0	0	0	0	Parolsenella catena
Clostridium bornimense	0	0	0	0	0	0	0	0	0	0	0	Clostridium bornimense
Clostridium beijerinckii	0	0	0	0	0	0	0	0	0	0	0	Clostridium beijerinckii
Clostridium taeniosporum	0	0	0	0	0	0	0	0	0	0	0	Clostridium taeniosporum
Clostridium novyi	0	0	0	0	0	0	0	0	0	0	0	Clostridium novyi
Clostridium sp. DL-VIII	0	0	0	0	0	0	0	0	0	0	0	Clostridium sp. DL-VIII
Lacticaseibacillus casei	0	0	0	0	0	0	0	0	0	0	0	Lacticaseibacillus casei
Clostridium pasteurianum	0	0	0	0	0	0	0	0	0	0	0	Clostridium pasteurianum
Ethanoligenens harbinense	0	0	0	0	0	0	0	0	0	0	0	Ethanoligenens harbinense
Bacillus cereus	0	0	0	0	0	0	0	0	0	0	0	Bacillus cereus
Clostridium argentinense	0	0	0	0	0	0	0	0	0	0	0	Clostridium argentinense
Bifidobacterium pullorum	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium pullorum
Listeria innocua	0	0	0	0	0	0	0	0	0	0	0	Listeria innocua
Lawsonella clevelandensis	0	0	0	0	0	0	0	0	0	0	0	Lawsonella clevelandensis
Christensenella massiliensis	0	0	0	0	0	0	0	0	0	0	0	Christensenella massiliensis
Cellulosilyticum lentocellum	0	0	0	0	0	0	0	0	0	0	0	Cellulosilyticum lentocellum
Parolsenella massiliensis	0	0	0	0	0	0	0	0	0	0	0	Parolsenella massiliensis
Clostridiales bacterium	0	0	0	0	0	0	0	0	0	2.423746046	1.920000766	Clostridiales bacterium
Clostridium sp. CAG:567	0	0	0	0	0	0	0	0	0	1.542024401	0	Clostridium sp. CAG:567
Firmicutes bacterium CAG:460	0	0	0	0	0	0	0	0	0	0.755196566	0	Firmicutes bacterium CAG:460
Senegalimassilia anaerobia	0	0	0	0	0	0	0	0	0	0.695323091	0	Senegalimassilia anaerobia
