rankID	1103_V2_D1_CTAB_DNA	1103_V2_D1_PowerFecal_DNA	1103_V2_D1_R1	1103_V2_D1_R2	1103_V6_D29_CTAB_DNA	1103_V6_D29_PowerFecal_DNA	1103_V6_D29_R1	1103_V6_D29_R2	2103_V2_D1_CTAB_DNA	2103_V2_D1_PowerFecal_DNA	2103_V2_D1_R1	2103_V2_D1_R2	2103_V6_D29_CTAB_DNA	2103_V6_D29_PowerFecal_DNA	2103_V6_D29_R1	2103_V6_D29_R2	2202_V2_D1_CTAB_DNA	2202_V2_D1_PowerFecal_DNA	2202_V2_D1_R1	2202_V2_D1_R2	2202_V5_D22_CTAB_DNA	2202_V5_D22_PowerFecal_DNA	2202_V5_D22_R1	2202_V5_D22_R2	3204_V2_D1_CTAB_DNA	3204_V2_D1_PowerFecal_DNA	3204_V2_D1_R1	3204_V2_D1_R2	3204_V6_D29_CTAB_DNA	3204_V6_D29_PowerFecal_DNA	3204_V6_D29_R1	3204_V6_D29_R2	3216_V2_D1_CTAB_DNA	3216_V2_D1_PowerFecal_DNA	3216_V2_D1_R1	3216_V2_D1_R2	3216_V6_D29_CTAB_DNA	3216_V6_D29_PowerFecal_DNA	3216_V6_D29_R1	3216_V6_D29_R2	3218_V2_D1_CTAB_DNA	3218_V2_D1_PowerFecal_DNA	3218_V2_D1_R1	3218_V2_D1_R2	3218_V6_D29_CTAB_DNA	3218_V6_D29_PowerFecal_DNA	3218_V6_D29_R1	3218_V6_D29_R2	taxon
0.1.2.1.1.1.2.6.1	0	0	0	2	0	0	0	0	17	0	2	22	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	2	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Actinomyces_pacaensis_unclassified
0.1.2.1.1.1.2.7.1	1	0	1	0	1	1	0	0	29	4	4	7	7	0	0	1	2	0	0	0	0	0	0	0	6	1	0	0	15	0	0	2	5	1	0	0	0	0	1	0	2	0	0	0	3	0	0	0	Actinomyces_unclassified
0.1.2.1.1.1.2.8.1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Actinomyces_viscosus_unclassified
0.1.2.1.1.1.3.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Mobiluncus_curtisii_ATCC_43063
0.1.2.1.1.1.4.1.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Schaalia_meyeri_unclassified
0.1.2.1.1.1.4.2.1	5	1	0	0	0	0	1	1	11	0	1	1	2	0	0	0	2	0	0	1	2	0	0	1	8	1	4	3	10	0	3	3	15	0	2	2	2	1	0	0	14	0	1	1	3	0	1	0	Schaalia_odontolytica_ATCC_17982
0.1.2.1.1.1.4.2.2	0	0	1	1	1	0	0	0	115	0	11	27	4	1	0	1	1	0	1	1	2	0	0	1	26	3	29	12	24	0	3	19	17	2	2	1	0	0	0	0	4	0	0	2	1	0	1	0	Schaalia_odontolytica_unclassified
0.1.2.1.1.1.4.3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Schaalia_turicensis_ACS-279-V-Col4
0.1.2.1.1.1.4.3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Schaalia_turicensis_unclassified
0.1.2.1.1.1.4.4.1	3	0	0	1	2	0	0	1	17	2	1	3	1	1	2	1	4	3	0	0	6	0	0	0	22	6	33	12	12	4	3	16	13	2	3	2	3	0	0	1	0	0	2	0	3	0	2	2	Schaalia_unclassified
0.1.2.1.1.1.5.1.1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Trueperella_pyogenes_unclassified
0.1.2.1.1.1.5.2.1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Trueperella_unclassified
0.1.2.1.1.1.6.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Varibaculum_cambriense_DSM_15806
0.1.2.1.1.1.6.1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	Varibaculum_cambriense_unclassified
0.1.2.1.1.1.6.2.1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	Varibaculum_unclassified
0.1.2.1.2.1.1.1.1	70	34	9	13	30	3	11	7	39	56	50	34	196	115	109	107	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	51	25	9	8	23	19	7	10	156	41	24	59	433	119	24	85	Bifidobacterium_adolescentis_ATCC_15703
0.1.2.1.2.1.1.1.2	654	172	176	146	121	11	30	28	1219	373	711	1244	2156	893	718	840	0	0	0	0	0	2	0	0	1	0	0	2	1	2	0	0	300	185	80	74	182	76	53	52	62	58	53	65	231	78	14	102	Bifidobacterium_adolescentis_unclassified
0.1.2.1.2.1.1.2.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	172	100	11	10	41	109	17	23	0	0	0	0	0	0	0	0	Bifidobacterium_angulatum_DSM_20098_=_JCM_7096
0.1.2.1.2.1.1.2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	45	20	4	6	9	26	2	10	0	0	0	0	0	0	0	0	Bifidobacterium_angulatum_unclassified
0.1.2.1.2.1.1.3.1	0	0	1	0	0	0	0	0	116	18	19	63	86	43	18	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium_bifidum_BGN4
0.1.2.1.2.1.1.3.2	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium_bifidum_S17
0.1.2.1.2.1.1.3.3	0	0	0	0	0	0	0	0	7	5	6	3	35	19	7	31	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium_bifidum_unclassified
0.1.2.1.2.1.1.4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium_breve_unclassified
0.1.2.1.2.1.1.5.1	1	0	0	0	0	1	0	0	396	132	320	539	571	214	186	255	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	Bifidobacterium_catenulatum_DSM_16992_=_JCM_1194_=_LMG_11043
0.1.2.1.2.1.1.5.2	0	0	0	0	0	0	0	0	15	10	28	16	32	36	14	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Bifidobacterium_catenulatum_unclassified
0.1.2.1.2.1.1.6.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Bifidobacterium_kashiwanohense_unclassified
0.1.2.1.2.1.1.7.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium_lemurum_unclassified
0.1.2.1.2.1.1.8.1	4	3	19	15	4	0	0	4	23	11	34	60	14	5	16	15	278	140	1314	1381	266	30	436	441	1463	730	2483	2050	504	133	837	1169	0	0	1	0	0	1	0	0	2	1	0	0	0	2	0	0	Bifidobacterium_longum_DJO10A
0.1.2.1.2.1.1.8.2	0	0	0	2	2	0	1	0	0	1	2	0	1	0	1	2	28	13	168	218	37	11	68	85	8	4	6	13	2	1	3	8	1	1	0	0	2	3	0	0	0	0	0	2	1	1	0	0	Bifidobacterium_longum_E18
0.1.2.1.2.1.1.8.3	1	0	4	2	0	0	0	0	34	6	33	54	14	3	16	20	23	10	64	65	10	0	21	21	38	17	71	31	9	5	24	17	2	3	8	6	8	2	9	7	0	0	2	1	0	0	0	3	Bifidobacterium_longum_NCC2705
0.1.2.1.2.1.1.8.4	0	1	1	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0	3	4	1	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	6	11	3	0	3	10	Bifidobacterium_longum_subsp._infantis_157F
0.1.2.1.2.1.1.8.5	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	Bifidobacterium_longum_subsp._longum_BBMN68
0.1.2.1.2.1.1.8.6	16	1	35	28	4	0	6	5	0	0	0	0	0	0	0	0	2	0	3	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	Bifidobacterium_longum_subsp._longum_F8
0.1.2.1.2.1.1.8.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium_longum_subsp._longum_GT15
0.1.2.1.2.1.1.8.8	2	1	3	3	2	0	1	0	0	0	2	1	2	0	1	6	99	81	513	638	80	18	164	260	5	1	0	0	0	2	0	0	18	11	20	14	17	11	12	17	152	40	44	405	293	118	6	140	Bifidobacterium_longum_subsp._longum_JCM_1217
0.1.2.1.2.1.1.8.9	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	1	1	6	2	4	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bifidobacterium_longum_subsp._longum_JDM301
0.1.2.1.2.1.1.8.10	506	52	1028	802	296	1	165	133	12	6	18	14	5	2	6	10	61	28	234	215	58	6	76	91	13	10	20	20	5	3	7	15	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	Bifidobacterium_longum_subsp._longum_KACC_91563
0.1.2.1.2.1.1.8.11	265	76	422	363	189	8	89	85	192	33	217	303	82	29	116	112	702	340	3000	3050	672	95	1060	1089	720	370	744	737	300	72	324	322	18	23	14	12	30	14	11	9	40	59	82	285	148	88	21	160	Bifidobacterium_longum_unclassified
0.1.2.1.2.1.1.9.1	23	23	12	12	3	0	2	2	1	7	4	0	15	5	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1	2	2	2	2	153	82	108	214	112	82	7	42	Bifidobacterium_pseudocatenulatum_DSM_20438_=_JCM_1200_=_LMG_10505
0.1.2.1.2.1.1.9.2	8	3	1	3	0	0	1	0	0	2	3	3	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	7	8	24	11	10	0	8	Bifidobacterium_pseudocatenulatum_unclassified
0.1.2.1.2.1.1.10.1	140	38	215	143	41	2	36	47	142	73	389	180	262	124	256	308	144	61	326	283	85	10	133	116	109	22	329	299	36	19	112	161	68	52	32	42	47	36	30	30	3	54	69	195	127	60	12	119	Bifidobacterium_unclassified
0.1.2.1.3.1.1.1.1	0	0	0	0	0	0	0	0	56	3	10	24	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Corynebacterium_argentoratense_DSM_44202
0.1.2.1.3.1.1.1.2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Corynebacterium_argentoratense_unclassified
0.1.2.1.3.1.1.2.1	0	1	0	1	0	1	0	0	7	1	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	Corynebacterium_unclassified
0.1.2.1.3.2.1.1.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rhodococcus_unclassified
0.1.2.1.3.3.1.1.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Tsukamurella_unclassified
0.1.2.1.3.4.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	Lawsonella_clevelandensis_unclassified
0.1.2.1.3.4.1.2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lawsonella_unclassified
0.1.2.1.4.1.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	Geodermatophilus_pulveris_unclassified
0.1.2.1.4.1.1.2.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Geodermatophilus_unclassified
0.1.2.1.5.1.1.1.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Brevibacterium_unclassified
0.1.2.1.5.2.1.1.1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cellulomonas_unclassified
0.1.2.1.5.3.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Lysinimicrobium_unclassified
0.1.2.1.5.4.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Micrococcus_unclassified
0.1.2.1.5.4.2.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Neomicrococcus_unclassified
0.1.2.1.5.4.3.1.1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rothia_dentocariosa_ATCC_17931
0.1.2.1.5.4.3.2.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Rothia_mucilaginosa_DY-18
0.1.2.1.5.4.3.2.2	0	0	0	0	0	0	0	0	8	0	5	8	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	Rothia_mucilaginosa_unclassified
0.1.2.1.5.4.3.3.1	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	Rothia_unclassified
0.1.2.1.5.4.4.1.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Sinomonas_unclassified
0.1.2.1.6.1.1.1.1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Micromonospora_unclassified
0.1.2.1.7.1.1.1.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cutibacterium_acnes_TypeIA2_P.acn33
0.1.2.1.7.1.1.1.2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cutibacterium_acnes_unclassified
0.1.2.1.7.1.1.2.1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Cutibacterium_unclassified
0.1.2.1.8.1.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Actinoalloteichus_unclassified
0.1.2.1.8.1.2.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Lentzea_unclassified
0.1.2.1.9.1.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Kitasatospora_unclassified
0.1.2.1.9.1.2.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptomyces_cinnamoneus_unclassified
0.1.2.1.9.1.2.2.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptomyces_unclassified
0.1.2.2.1.1.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Actinobacteria_unclassified
0.1.2.3.1.1.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Atopobium_minutum_unclassified
0.1.2.3.1.1.1.2.1	0	0	0	0	0	0	0	0	12	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	Atopobium_parvulum_DSM_20469
0.1.2.3.1.1.1.2.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	Atopobium_parvulum_unclassified
0.1.2.3.1.1.1.3.1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Atopobium_rimae_ATCC_49626
0.1.2.3.1.1.1.4.1	94	22	3	3	12	1	1	0	1	0	3	3	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	6	6	18	27	12	7	1	1	1	0	0	0	0	0	Atopobium_unclassified
0.1.2.3.1.1.2.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Olsenella_scatoligenes_unclassified
0.1.2.3.1.1.2.2.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Olsenella_uli_DSM_7084
0.1.2.3.1.1.2.3.1	9	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	Olsenella_unclassified
0.1.2.3.1.2.1.1.1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Collinsella_aerofaciens_ATCC_25986
0.1.2.3.1.2.1.1.2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	Collinsella_aerofaciens_unclassified
0.1.2.3.1.2.1.2.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	4	3	0	3	Collinsella_intestinalis_DSM_13280
0.1.2.3.1.2.1.2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	1	17	30	63	11	4	40	Collinsella_intestinalis_unclassified
0.1.2.3.1.2.1.3.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	4	26	10	1	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	7	11	6	2	5	Collinsella_stercoris_DSM_13279
0.1.2.3.1.2.1.3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	9	2	1	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Collinsella_stercoris_unclassified
